dly pw_up pw_down
0u 8.036603e-08 7.731251e-08
1.008064u 7.971654e-08 6.200935e-01
2.016129u 7.985812e-08 5.801539e-01
3.024193u 7.980203e-08 5.402122e-01
4.032258u 6.595285e-01 7.801225e-08
5.040322u 7.968142e-08 4.603939e-01
6.048387u 7.963333e-08 4.204491e-01
7.056451u 7.891856e-08 3.770182e-01
8.064516u 7.887799e-08 3.326636e-01
9.072580u 7.882020e-08 2.883085e-01
10.080645u 7.727500e-08 2.439534e-01
11.088709u 7.724266e-08 1.995983e-01
12.096774u 7.754877e-08 1.552325e-01
13.104838u 7.730170e-08 1.108603e-01
14.112903u 7.694114e-08 6.653290e-02
15.120967u 7.727844e-08 2.216715e-02
16.129032u 2.216740e-02 7.727918e-08
17.137096u 6.653554e-02 7.694351e-08
18.145161u 1.108676e-01 7.730606e-08
19.153225u 1.552341e-01 7.755413e-08
20.161290u 1.996057e-01 7.724929e-08
21.169354u 2.439690e-01 7.728307e-08
22.177419u 2.883085e-01 7.714620e-08
23.185483u 3.326636e-01 7.720388e-08
24.193548u 3.770187e-01 7.725124e-08
25.201612u 4.204680e-01 7.795238e-08
26.209677u 4.603876e-01 7.799370e-08
27.217741u 8.049829e-08 6.772358e-01
28.225806u 5.402269e-01 7.809454e-08
29.233870u 5.801465e-01 7.814367e-08
30.241935u 6.200661e-01 7.804794e-08
31.250000u 8.013239e-08 7.778441e-08
