dly pw_up pw_down
0u 1.365693e-05 1.357337e-05
1.008064u 1.629099e-05 4.166997e-02
2.016129u 1.613080e-05 7.031169e-02
3.024193u 1.594815e-05 7.030018e-02
4.032258u 1.587126e-05 7.030734e-02
5.040322u 1.600419e-05 7.941093e-02
6.048387u 1.580837e-05 9.169730e-02
7.056451u 1.558367e-05 9.373376e-02
8.064516u 1.526559e-05 9.373312e-02
9.072580u 1.490032e-05 9.373248e-02
10.080645u 1.442757e-05 9.373113e-02
11.088709u 1.368209e-05 8.678464e-02
12.096774u 1.314694e-05 7.468768e-02
13.104838u 1.243618e-05 7.029693e-02
14.112903u 1.190270e-05 5.071812e-02
15.120967u 1.079553e-05 1.750124e-02
16.129032u 1.750364e-02 1.075062e-05
17.137096u 5.377220e-02 1.151237e-05
18.145161u 6.868664e-02 1.269397e-05
19.153225u 6.869414e-02 1.336930e-05
20.161290u 6.408302e-02 1.380287e-05
21.169354u 6.869327e-02 1.409241e-05
22.177419u 6.870476e-02 1.437381e-05
23.185483u 4.474520e-02 1.465246e-05
24.193548u 6.868730e-02 1.497588e-05
25.201612u 6.870066e-02 1.527272e-05
26.209677u 5.144369e-02 1.556356e-05
27.217741u 6.870608e-02 1.585586e-05
28.225806u 6.870518e-02 1.615660e-05
29.233870u 7.032026e-02 1.639690e-05
30.241935u 6.869853e-02 1.662889e-05
31.250000u 1.365693e-05 1.357337e-05
