dly pw_up pw_down
0u 1.565092e-08 1.293284e-08
1.008064u 1.460723e-08 5.072306e-01
2.016129u 1.449359e-08 4.745530e-01
3.024193u 1.449043e-08 4.418736e-01
4.032258u 1.454190e-08 4.091319e-01
5.040322u 1.452816e-08 3.765682e-01
6.048387u 1.451677e-08 3.438863e-01
7.056451u 1.359099e-08 3.083351e-01
8.064516u 1.357197e-08 2.720442e-01
9.072580u 1.358764e-08 2.357498e-01
10.080645u 1.216789e-08 1.994746e-01
11.088709u 1.203372e-08 1.631714e-01
12.096774u 1.202834e-08 1.268804e-01
13.104838u 1.191736e-08 9.059144e-02
14.112903u 1.198385e-08 5.429858e-02
15.120967u 1.197029e-08 1.800766e-02
16.129032u 1.800786e-02 1.197044e-08
17.137096u 5.430073e-02 1.198413e-08
18.145161u 9.058972e-02 1.191886e-08
19.153225u 1.268818e-01 1.202934e-08
20.161290u 1.631775e-01 1.203532e-08
21.169354u 1.994874e-01 1.216959e-08
22.177419u 2.357533e-01 1.189127e-08
23.185483u 2.720442e-01 1.187262e-08
24.193548u 3.083351e-01 1.188773e-08
25.201612u 3.438834e-01 1.237336e-08
26.209677u 3.765452e-01 1.238400e-08
27.217741u 4.091522e-01 1.239045e-08
28.225806u 4.418689e-01 1.234857e-08
29.233870u 4.745308e-01 1.235185e-08
30.241935u 5.071926e-01 1.245441e-08
31.250000u 1.565092e-08 1.293284e-08
