dly pw_up pw_down
0u 6.379303e-08 6.041655e-08
1.008064u 6.214976e-08 2.756554e-01
2.016129u 6.210587e-08 2.800309e-01
3.024193u 6.196862e-08 2.843583e-01
4.032258u 6.195924e-08 2.887487e-01
5.040322u 6.190032e-08 2.931620e-01
6.048387u 6.195527e-08 2.973817e-01
7.056451u 6.094757e-08 2.975773e-01
8.064516u 6.024587e-08 2.956939e-01
9.072580u 6.081743e-08 2.808297e-01
10.080645u 5.866197e-08 2.416067e-01
11.088709u 5.885196e-08 1.987336e-01
12.096774u 5.864436e-08 1.548367e-01
13.104838u 5.866110e-08 1.105946e-01
14.112903u 5.837057e-08 6.624536e-02
15.120967u 5.827016e-08 2.189170e-02
16.129032u 2.189195e-02 5.826653e-08
17.137096u 6.624246e-02 5.836034e-08
18.145161u 1.105931e-01 5.925656e-08
19.153225u 1.548383e-01 5.862125e-08
20.161290u 1.987244e-01 5.882221e-08
21.169354u 2.416021e-01 5.862711e-08
22.177419u 2.808194e-01 5.844424e-08
23.185483u 2.956830e-01 5.787234e-08
24.193548u 2.975737e-01 9.454893e-07
25.201612u 2.982755e-01 5.877634e-08
26.209677u 2.984382e-01 5.873408e-08
27.217741u 2.985097e-01 5.879399e-08
28.225806u 2.985192e-01 5.880324e-08
29.233870u 2.985684e-01 5.893461e-08
30.241935u 2.985772e-01 5.898168e-08
31.250000u 6.379303e-08 6.041655e-08
