dly pw_up pw_down
0u 1.365705e-07 1.318727e-07
1.358695u 3.492227e-07 6.060363e-01
2.717391u 9.652930e-06 5.522558e-01
4.076086u 8.495723e-06 4.984659e-01
5.434782u 3.006267e-05 4.446115e-01
6.793478u 3.634605e-05 3.884646e-01
8.152173u 2.080092e-05 3.286795e-01
9.510869u 9.168500e-06 2.688889e-01
10.869565u 3.326536e-06 2.091003e-01
12.228260u 1.251158e-06 1.493140e-01
13.586956u 5.445557e-07 8.952667e-02
14.945652u 4.150377e-07 2.973285e-02
16.304347u 2.973735e-02 3.213788e-07
17.663043u 8.951828e-02 5.470411e-07
19.021739u 1.493123e-01 1.244198e-06
20.380434u 2.090877e-01 3.302866e-06
21.739130u 2.688791e-01 9.371108e-06
23.097826u 3.286622e-01 2.156676e-05
24.456521u 3.884470e-01 3.733196e-05
25.815217u 4.446227e-01 3.018545e-05
27.173913u 4.984387e-01 8.526193e-06
28.532608u 5.522266e-01 6.845371e-06
29.891304u 6.060417e-01 3.459243e-07
31.250000u 1.359291e-07 1.325154e-07
