dly pw_up pw_down
0u 4.808315e-01 4.742816e-01
1.008064u 4.878630e-01 4.977759e-01
2.016129u 4.877418e-01 4.746958e-01
3.024193u 4.877180e-01 4.710646e-01
4.032258u 4.877515e-01 4.674089e-01
5.040322u 4.877355e-01 4.637923e-01
6.048387u 4.877196e-01 4.601755e-01
7.056451u 4.968305e-01 4.594356e-01
8.064516u 4.877526e-01 4.605348e-01
9.072580u 4.877527e-01 4.641638e-01
10.080645u 4.926757e-01 4.677947e-01
11.088709u 4.877526e-01 4.714218e-01
12.096774u 4.877526e-01 4.750508e-01
13.104838u 4.877526e-01 4.786798e-01
14.112903u 4.926648e-01 4.827280e-01
15.120967u 4.877725e-01 4.858089e-01
16.129032u 4.876155e-01 4.895791e-01
17.137096u 4.881469e-01 4.980849e-01
18.145161u 4.877127e-01 4.967860e-01
19.153225u 4.877461e-01 5.004480e-01
20.161290u 4.877302e-01 5.040617e-01
21.169354u 4.877145e-01 5.099423e-01
22.177419u 4.877526e-01 5.044412e-01
23.185483u 4.877526e-01 5.044412e-01
24.193548u 4.877527e-01 5.145273e-01
25.201612u 4.877527e-01 5.036983e-01
26.209677u 4.877528e-01 5.000693e-01
27.217741u 4.877528e-01 4.964403e-01
28.225806u 4.877528e-01 4.928112e-01
29.233870u 4.877761e-01 4.891822e-01
30.241935u 5.093612e-01 4.857196e-01
31.250000u 4.808315e-01 4.742816e-01
