dly pw_up pw_down
0u 4.278715e-09 1.442075e-09
1.008064u 3.103597e-09 5.071950e-01
2.016129u 2.989926e-09 4.745648e-01
3.024193u 2.993430e-09 4.418860e-01
4.032258u 3.008339e-09 4.092054e-01
5.040322u 3.081364e-09 3.765823e-01
6.048387u 3.078506e-09 3.439009e-01
7.056451u 2.151729e-09 3.083369e-01
8.064516u 2.097435e-09 2.720459e-01
9.072580u 2.095052e-09 2.357550e-01
10.080645u 6.731840e-10 1.994719e-01
11.088709u 5.788424e-10 1.631733e-01
12.096774u 5.860389e-10 1.268824e-01
13.104838u 5.284181e-10 9.059023e-02
14.112903u 4.999451e-10 5.430040e-02
15.120967u 4.774733e-10 1.800949e-02
16.129032u 1.800970e-02 4.773999e-10
17.137096u 5.430255e-02 4.999848e-10
18.145161u 9.059623e-02 5.285065e-10
19.153225u 1.268837e-01 5.867020e-10
20.161290u 1.631794e-01 5.796830e-10
21.169354u 1.994847e-01 6.739718e-10
22.177419u 2.357550e-01 3.715750e-10
23.185483u 2.720459e-01 3.735036e-10
24.193548u 3.083369e-01 4.248344e-10
25.201612u 3.438849e-01 9.234438e-10
26.209677u 3.765468e-01 9.258556e-10
27.217741u 4.092086e-01 8.597149e-10
28.225806u 4.418704e-01 8.441697e-10
29.233870u 4.745322e-01 8.411424e-10
30.241935u 5.071941e-01 9.427401e-10
31.250000u 4.278715e-09 1.442075e-09
