dly pw_up pw_down
0u 3.487536e-05 5.730922e-01
1.008064u 9.743171e-06 5.404413e-01
2.016129u 9.712492e-06 5.078681e-01
3.024193u 9.680509e-06 4.751545e-01
4.032258u 9.643163e-06 4.424352e-01
5.040322u 9.597178e-06 4.098777e-01
6.048387u 9.544264e-06 3.771550e-01
7.056451u 9.480382e-06 3.355000e-01
8.064516u 9.407658e-06 2.919484e-01
9.072580u 9.319521e-06 2.483969e-01
10.080645u 9.210209e-06 2.048454e-01
11.088709u 9.070481e-06 1.612941e-01
12.096774u 8.735273e-06 1.177430e-01
13.104838u 8.471546e-06 8.113855e-02
14.112903u 8.194743e-06 4.847464e-02
15.120967u 1.496808e-05 1.580866e-02
16.129032u 1.580798e-02 1.479930e-05
17.137096u 4.848047e-02 8.195763e-06
18.145161u 8.113460e-02 8.471150e-06
19.153225u 1.138049e-01 8.737525e-06
20.161290u 1.464811e-01 9.073529e-06
21.169354u 1.791179e-01 9.211736e-06
22.177419u 2.117940e-01 9.321687e-06
23.185483u 2.444579e-01 9.409851e-06
24.193548u 2.771220e-01 9.482599e-06
25.201612u 3.097861e-01 9.543856e-06
26.209677u 3.424504e-01 9.597588e-06
27.217741u 3.751147e-01 9.641984e-06
28.225806u 4.077790e-01 9.680148e-06
29.233870u 4.404432e-01 9.712940e-06
30.241935u 4.731075e-01 9.741999e-06
31.250000u 5.057664e-01 3.487664e-05
