dly pw_up pw_down
0u 1.205870e-08 1.210537e-08
1.008064u 1.218831e-08 6.007391e-01
2.016129u 1.217983e-08 5.643925e-01
3.024193u 1.217132e-08 5.282082e-01
4.032258u 1.216277e-08 4.918591e-01
5.040322u 1.213495e-08 4.555041e-01
6.048387u 1.214490e-08 4.193384e-01
7.056451u 1.079725e-08 3.731579e-01
8.064516u 1.079461e-08 3.247614e-01
9.072580u 1.079277e-08 2.763649e-01
10.080645u 1.079208e-08 2.279683e-01
11.088709u 1.079301e-08 1.795718e-01
12.096774u 1.079663e-08 1.311752e-01
13.104838u 1.208751e-08 9.035390e-02
14.112903u 1.207896e-08 5.405650e-02
15.120967u 1.206998e-08 1.775912e-02
16.129032u 1.775980e-02 1.206998e-08
17.137096u 5.404948e-02 1.207897e-08
18.145161u 9.034950e-02 1.208751e-08
19.153225u 1.266553e-01 1.209596e-08
20.161290u 1.629263e-01 1.210433e-08
21.169354u 1.992348e-01 1.211274e-08
22.177419u 2.355435e-01 1.155292e-08
23.185483u 2.718409e-01 1.156862e-08
24.193548u 3.081383e-01 1.158348e-08
25.201612u 3.444356e-01 1.159772e-08
26.209677u 3.807330e-01 1.158587e-08
27.217741u 4.170304e-01 1.162481e-08
28.225806u 4.533278e-01 1.220704e-08
29.233870u 4.896252e-01 1.221547e-08
30.241935u 5.259226e-01 1.222390e-08
31.250000u 1.205870e-08 1.210537e-08
