dly pw_up pw_down
0u 5.101725e-08 4.656281e-08
1.008064u 4.934803e-08 5.635656e-01
2.016129u 4.933129e-08 5.273111e-01
3.024193u 4.936708e-08 4.910016e-01
4.032258u 4.948540e-08 4.546901e-01
5.040322u 4.948128e-08 4.184419e-01
6.048387u 4.938045e-08 3.821256e-01
7.056451u 4.800295e-08 3.426194e-01
8.064516u 4.798290e-08 3.022946e-01
9.072580u 9.738669e-08 2.619707e-01
10.080645u 4.529672e-08 2.216451e-01
11.088709u 4.527049e-08 1.813205e-01
12.096774u 4.524203e-08 1.409918e-01
13.104838u 4.887483e-08 1.006712e-01
14.112903u 4.515344e-08 6.034657e-02
15.120967u 4.509596e-08 2.002204e-02
16.129032u 2.002227e-02 4.509536e-08
17.137096u 6.034393e-02 4.515137e-08
18.145161u 1.006696e-01 4.887464e-08
19.153225u 1.409973e-01 4.526692e-08
20.161290u 1.813121e-01 4.526515e-08
21.169354u 2.216409e-01 4.529000e-08
22.177419u 2.619671e-01 1.010439e-07
23.185483u 3.022912e-01 4.494126e-08
24.193548u 3.426155e-01 4.495987e-08
25.201612u 3.821131e-01 4.598734e-08
26.209677u 4.184049e-01 4.606115e-08
27.217741u 4.546967e-01 4.606825e-08
28.225806u 4.909885e-01 4.596713e-08
29.233870u 5.272691e-01 4.392483e-08
30.241935u 5.635721e-01 4.594975e-08
31.250000u 5.101725e-08 4.656281e-08
