dly pw_up pw_down
0 1.531553e-05 1.531553e-05
1u 1.531590e-05 1.531573e-05
2u 1.531590e-05 1.531573e-05
3u 1.531590e-05 1.531573e-05
4u 1.531590e-05 1.531574e-05
5u 1.531590e-05 1.531574e-05
6u 1.533191e-05 1.531574e-05
7u 1.531590e-05 -7.007089e-06
8u 1.531590e-05 -8.007088e-06
9u 1.531590e-05 -9.007087e-06
10u 1.531590e-05 -1.000709e-05
11u 1.531590e-05 -1.100709e-05
12u 1.531590e-05 -1.200708e-05
13u 1.531590e-05 -1.300708e-05
14u 1.531590e-05 -1.400708e-05
15u 1.531590e-05 -1.500708e-05
16u 1.160938e-07 -1.593410e-05
17u 1.160949e-07 -1.593410e-05
18u 1.160958e-07 -1.593410e-05
19u 1.160967e-07 -1.593410e-05
20u 1.160974e-07 -1.593410e-05
21u 1.160981e-07 -1.593410e-05
22u 1.531574e-05 1.531590e-05
23u 1.531574e-05 1.531590e-05
24u 1.531574e-05 1.531590e-05
25u 1.531574e-05 1.531590e-05
26u 1.531574e-05 1.531590e-05
27u 1.531574e-05 1.531590e-05
28u 1.531573e-05 1.531590e-05
29u 1.531573e-05 1.531590e-05
30u 1.531573e-05 1.531590e-05
31.25u 1.531553e-05 1.531553e-05
