time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 1.316327550000000013e+00 8.885177590000000296e-11 3.154941959999999803e-11 6.385614920000000083e-01 7.028079109999999519e-01
9.999999999999999799e-13 1.316327550000000013e+00 8.962742139999999616e-11 3.156952009999999820e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.999999999999999960e-12 1.316327550000000013e+00 8.940675890000000442e-11 3.156495010000000320e-11 6.385614920000000083e-01 7.028079109999999519e-01
3.999999999999999920e-12 1.316327550000000013e+00 8.911178449999999591e-11 3.155175150000000322e-11 6.385614920000000083e-01 7.028079109999999519e-01
7.999999999999999839e-12 1.316327550000000013e+00 8.900752739999999900e-11 3.154562290000000029e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.599999999999999968e-11 1.316327550000000013e+00 8.900050950000000293e-11 3.156161250000000230e-11 6.385614910000000366e-01 7.028079109999999519e-01
3.199999999999999936e-11 1.316327550000000013e+00 8.882945140000000496e-11 3.155428360000000119e-11 6.385614910000000366e-01 7.028079109999999519e-01
6.399999999999999871e-11 1.316327550000000013e+00 8.878189939999999398e-11 3.154329009999999782e-11 6.385614920000000083e-01 7.028079099999999801e-01
1.279999999999999974e-10 1.316327550000000013e+00 8.884117820000000189e-11 3.154915769999999871e-11 6.385614920000000083e-01 7.028079090000000084e-01
2.279999999999999881e-10 1.316327550000000013e+00 8.880878769999999633e-11 3.154893149999999738e-11 6.385614920000000083e-01 7.028079090000000084e-01
3.280000000000000047e-10 1.316327550000000013e+00 8.882923280000000155e-11 3.154999170000000194e-11 6.385614920000000083e-01 7.028079099999999801e-01
4.280000000000000213e-10 1.316327550000000013e+00 8.881901540000000353e-11 3.154916669999999744e-11 6.385614920000000083e-01 7.028079099999999801e-01
5.280000000000000378e-10 1.316327550000000013e+00 8.882964629999999792e-11 3.154976819999999893e-11 6.385614920000000083e-01 7.028079099999999801e-01
6.280000000000000027e-10 1.316327550000000013e+00 8.882570679999999529e-11 3.154919610000000149e-11 6.385614920000000083e-01 7.028079099999999801e-01
7.279999999999999676e-10 1.316327550000000013e+00 8.883057470000000394e-11 3.154968349999999851e-11 6.385614920000000083e-01 7.028079109999999519e-01
8.280000000000000359e-10 1.316327550000000013e+00 8.882860560000000139e-11 3.154921260000000132e-11 6.385614920000000083e-01 7.028079109999999519e-01
9.280000000000000007e-10 1.316327550000000013e+00 8.883080610000000181e-11 3.154964080000000294e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.027999999999999966e-09 1.316327550000000013e+00 8.882986690000000248e-11 3.154923119999999913e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.128000000000000034e-09 1.316327550000000013e+00 8.883077750000000468e-11 3.154961070000000172e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.228000000000000102e-09 1.316327550000000013e+00 8.883020269999999599e-11 3.154925239999999845e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.327999999999999964e-09 1.316327550000000013e+00 8.883053699999999833e-11 3.154958249999999836e-11 6.385614920000000083e-01 7.028079109999999519e-01
1.428000000000000032e-09 1.316327550000000013e+00 8.883036370000000492e-11 3.154927599999999915e-11 6.385614920000000083e-01 7.028079109999999519e-01
