time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 1.308655439999999892e+00 2.091265219999999838e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
9.999999999999999799e-13 1.308655439999999892e+00 2.091265230000000006e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.999999999999999960e-12 1.308655439999999892e+00 2.091265219999999838e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.999999999999999920e-12 1.308655439999999892e+00 2.091265219999999838e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.999999999999999839e-12 1.308655439999999892e+00 2.091265219999999838e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.599999999999999968e-11 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.199999999999999936e-11 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.399999999999999871e-11 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.279999999999999974e-10 1.308655439999999892e+00 2.091265219999999838e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.279999999999999881e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.280000000000000047e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.280000000000000213e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.280000000000000378e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.280000000000000027e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.279999999999999676e-10 1.308655439999999892e+00 2.091265200000000162e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
8.280000000000000359e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
9.280000000000000007e-10 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.027999999999999966e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.128000000000000034e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.228000000000000102e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.327999999999999964e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.428000000000000032e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.528000000000000100e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.627999999999999962e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.728000000000000030e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.828000000000000098e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
1.927999999999999960e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.028000000000000028e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.128000000000000096e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.228000000000000164e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.327999999999999819e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.427999999999999887e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.527999999999999956e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.628000000000000024e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.728000000000000092e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.828000000000000160e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
2.927999999999999815e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.027999999999999883e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.127999999999999952e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.228000000000000020e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.328000000000000088e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.428000000000000156e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.527999999999999811e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.627999999999999879e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.728000000000000361e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.827999999999999602e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
3.927999999999999671e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.027999999999999739e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.127999999999999807e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.227999999999999875e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.327999999999999944e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.428000000000000012e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.528000000000000080e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.628000000000000148e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.728000000000000217e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.828000000000000285e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
4.928000000000000353e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.027999999999999594e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.127999999999999663e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.227999999999999731e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.327999999999999799e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.427999999999999867e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.527999999999999936e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.628000000000000004e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.728000000000000072e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.828000000000000140e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
5.928000000000000209e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.028000000000000277e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.128000000000000345e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.228000000000000414e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.327999999999999655e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.427999999999999723e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.527999999999999791e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.627999999999999859e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.727999999999999928e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.827999999999999996e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
6.928000000000000064e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.028000000000000132e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.128000000000000201e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.228000000000000269e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.328000000000000337e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
7.428000000000000406e-09 1.308655439999999892e+00 2.091265210000000000e-08 2.065538869999999850e-08 4.717715060000000071e-01 6.073857839999999841e-01
