time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 2.751883900000000049e-01 3.573986010000000000e-12 3.743184899999999810e-12 6.239583180000000118e-01 6.334011339999999768e-01
9.999999999999999799e-13 2.751883900000000049e-01 -9.536521640000000705e-12 5.118510979999999765e-12 6.239583180000000118e-01 6.334011320000000334e-01
1.999999999999999960e-12 2.751883900000000049e-01 -6.354364759999999998e-12 4.880758489999999750e-12 6.239583170000000401e-01 6.334011299999999789e-01
3.999999999999999920e-12 2.751883900000000049e-01 -5.524608280000000283e-13 4.083808090000000173e-12 6.239583159999999573e-01 6.334011280000000355e-01
7.999999999999999839e-12 2.751883900000000049e-01 5.020894290000000402e-12 3.467057120000000086e-12 6.239583159999999573e-01 6.334011269999999527e-01
1.599999999999999968e-11 2.751883900000000049e-01 5.661220720000000157e-12 3.516923060000000154e-12 6.239583180000000118e-01 6.334011269999999527e-01
3.199999999999999936e-11 2.751883900000000049e-01 3.946507359999999681e-12 3.643896789999999937e-12 6.239583189999999835e-01 6.334011280000000355e-01
6.399999999999999871e-11 2.751883900000000049e-01 3.759591949999999649e-12 3.811986169999999765e-12 6.239583189999999835e-01 6.334011299999999789e-01
1.279999999999999974e-10 2.751883900000000049e-01 3.450816819999999974e-12 3.697409199999999633e-12 6.239583189999999835e-01 6.334011320000000334e-01
2.279999999999999881e-10 2.751883900000000049e-01 3.626555479999999903e-12 3.793069359999999825e-12 6.239583189999999835e-01 6.334011339999999768e-01
3.280000000000000047e-10 2.751883900000000049e-01 3.523499340000000024e-12 3.695467340000000206e-12 6.239583189999999835e-01 6.334011339999999768e-01
4.280000000000000213e-10 2.751883900000000049e-01 3.616100620000000025e-12 3.789772789999999830e-12 6.239583189999999835e-01 6.334011339999999768e-01
5.280000000000000378e-10 2.751883900000000049e-01 3.542735239999999906e-12 3.697068930000000147e-12 6.239583189999999835e-01 6.334011339999999768e-01
6.280000000000000027e-10 2.751883900000000049e-01 3.603304619999999804e-12 3.788578210000000258e-12 6.239583189999999835e-01 6.334011339999999768e-01
7.279999999999999676e-10 2.751883900000000049e-01 3.553273860000000153e-12 3.698156540000000008e-12 6.239583189999999835e-01 6.334011339999999768e-01
8.280000000000000359e-10 2.751883900000000049e-01 3.593547840000000056e-12 3.787754600000000122e-12 6.239583180000000118e-01 6.334011339999999768e-01
9.280000000000000007e-10 2.751883900000000049e-01 3.560513720000000029e-12 3.698949329999999962e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.027999999999999966e-09 2.751883900000000049e-01 3.586460959999999875e-12 3.787057920000000396e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.128000000000000034e-09 2.751883900000000049e-01 3.565866109999999886e-12 3.699631820000000060e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.228000000000000102e-09 2.751883900000000049e-01 3.581286570000000181e-12 3.786407549999999614e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.327999999999999964e-09 2.751883900000000049e-01 3.569848830000000153e-12 3.700277079999999830e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.428000000000000032e-09 2.751883900000000049e-01 3.577410770000000001e-12 3.785774930000000194e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.528000000000000100e-09 2.751883900000000049e-01 3.572817679999999829e-12 3.700907250000000260e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.627999999999999962e-09 2.751883900000000049e-01 3.574508950000000083e-12 3.785149050000000140e-12 6.239583180000000118e-01 6.334011339999999768e-01
1.728000000000000030e-09 2.751883900000000049e-01 3.575185529999999920e-12 3.701531619999999765e-12 6.239583180000000118e-01 6.334011339999999768e-01
