time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 2.095758019999999916e-02 2.022113649999999920e-11 2.356897240000000047e-11 5.655507010000000445e-01 5.985482690000000217e-01
9.999999999999999799e-13 2.095758019999999916e-02 2.016975329999999964e-11 2.357723809999999952e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.999999999999999960e-12 2.095758019999999916e-02 2.017825310000000136e-11 2.357557589999999965e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.999999999999999920e-12 2.095758019999999916e-02 2.019663450000000113e-11 2.357064040000000045e-11 5.655507010000000445e-01 5.985482690000000217e-01
7.999999999999999839e-12 2.095758019999999916e-02 2.022088670000000040e-11 2.356694250000000159e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.599999999999999968e-11 2.095758019999999916e-02 2.023187530000000094e-11 2.356773839999999898e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.199999999999999936e-11 2.095758019999999916e-02 2.022602500000000034e-11 2.356846990000000120e-11 5.655507010000000445e-01 5.985482690000000217e-01
6.399999999999999871e-11 2.095758019999999916e-02 2.022149200000000085e-11 2.356919479999999960e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.279999999999999974e-10 2.095758019999999916e-02 2.022069489999999954e-11 2.356869900000000097e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.279999999999999881e-10 2.095758019999999916e-02 2.022114540000000110e-11 2.356911930000000126e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.280000000000000047e-10 2.095758019999999916e-02 2.022100319999999980e-11 2.356868999999999901e-11 5.655507010000000445e-01 5.985482690000000217e-01
4.280000000000000213e-10 2.095758019999999916e-02 2.022113689999999943e-11 2.356910479999999935e-11 5.655507010000000445e-01 5.985482690000000217e-01
5.280000000000000378e-10 2.095758019999999916e-02 2.022109440000000074e-11 2.356869340000000097e-11 5.655507010000000445e-01 5.985482690000000217e-01
6.280000000000000027e-10 2.095758019999999916e-02 2.022111909999999885e-11 2.356910029999999998e-11 5.655507010000000445e-01 5.985482690000000217e-01
7.279999999999999676e-10 2.095758019999999916e-02 2.022109490000000103e-11 2.356869669999999964e-11 5.655507010000000445e-01 5.985482690000000217e-01
8.280000000000000359e-10 2.095758019999999916e-02 2.022117920000000123e-11 2.356909849999999894e-11 5.655507010000000445e-01 5.985482690000000217e-01
9.280000000000000007e-10 2.095758019999999916e-02 2.022109219999999947e-11 2.356869880000000085e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.027999999999999966e-09 2.095758019999999916e-02 2.022113230000000000e-11 2.356909730000000148e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.128000000000000034e-09 2.095758019999999916e-02 2.022116700000000065e-11 2.356869980000000143e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.228000000000000102e-09 2.095758019999999916e-02 2.022110100000000132e-11 2.356909570000000056e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.327999999999999964e-09 2.095758019999999916e-02 2.022111959999999914e-11 2.356870199999999947e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.428000000000000032e-09 2.095758019999999916e-02 2.022114400000000030e-11 2.356909369999999940e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.528000000000000100e-09 2.095758019999999916e-02 2.022118179999999950e-11 2.356870380000000051e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.627999999999999962e-09 2.095758019999999916e-02 2.022111560000000006e-11 2.356909140000000131e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.728000000000000030e-09 2.095758019999999916e-02 2.022113330000000058e-11 2.356870609999999861e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.828000000000000098e-09 2.095758019999999916e-02 2.022110560000000075e-11 2.356908990000000044e-11 5.655507010000000445e-01 5.985482690000000217e-01
1.927999999999999960e-09 2.095758019999999916e-02 2.022118739999999950e-11 2.356870779999999959e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.028000000000000028e-09 2.095758019999999916e-02 2.022112900000000133e-11 2.356908759999999911e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.128000000000000096e-09 2.095758019999999916e-02 2.022116539999999972e-11 2.356870970000000068e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.228000000000000164e-09 2.095758019999999916e-02 2.022109540000000132e-11 2.356908590000000136e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.327999999999999819e-09 2.095758019999999916e-02 2.022119090000000152e-11 2.356871199999999878e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.427999999999999887e-09 2.095758019999999916e-02 2.022108910000000092e-11 2.356908339999999992e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.527999999999999956e-09 2.095758019999999916e-02 2.022114560000000122e-11 2.356871440000000017e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.628000000000000024e-09 2.095758019999999916e-02 2.022110080000000121e-11 2.356908139999999876e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.728000000000000092e-09 2.095758019999999916e-02 2.022119480000000054e-11 2.356871610000000115e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.828000000000000160e-09 2.095758019999999916e-02 2.022109940000000040e-11 2.356907900000000061e-11 5.655507010000000445e-01 5.985482690000000217e-01
2.927999999999999815e-09 2.095758019999999916e-02 2.022114490000000082e-11 2.356871879999999947e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.027999999999999883e-09 2.095758019999999916e-02 2.022111060000000040e-11 2.356907709999999951e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.127999999999999952e-09 2.095758019999999916e-02 2.022118619999999881e-11 2.356872040000000040e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.228000000000000020e-09 2.095758019999999916e-02 2.022108619999999924e-11 2.356907500000000153e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.328000000000000088e-09 2.095758019999999916e-02 2.022119640000000146e-11 2.356872289999999861e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.428000000000000156e-09 2.095758019999999916e-02 2.022109500000000109e-11 2.356907199999999980e-11 5.655507010000000445e-01 5.985482690000000217e-01
3.527999999999999811e-09 2.095758019999999916e-02 2.022114189999999908e-11 2.356872570000000023e-11 5.655507010000000445e-01 5.985482690000000217e-01
