time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 1.067299620000000004e+00 9.409782369999999427e-12 5.916442180000000270e-13 7.253139659999999767e-01 7.191784310000000069e-01
9.999999999999999799e-13 1.067299620000000004e+00 9.409825350000000650e-12 5.916344609999999724e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.999999999999999960e-12 1.067299620000000004e+00 9.409780600000000667e-12 5.916341310000000445e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.999999999999999920e-12 1.067299620000000004e+00 9.409766870000000173e-12 5.916368260000000452e-13 7.253139659999999767e-01 7.191784310000000069e-01
7.999999999999999839e-12 1.067299620000000004e+00 9.409767559999999279e-12 5.916445010000000328e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.599999999999999968e-11 1.067299620000000004e+00 9.409775170000000117e-12 5.916460879999999554e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.199999999999999936e-11 1.067299620000000004e+00 9.409826830000000535e-12 5.916453269999999725e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.399999999999999871e-11 1.067299620000000004e+00 9.409805050000000241e-12 5.916439290000000096e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.279999999999999974e-10 1.067299620000000004e+00 9.409758549999999247e-12 5.916445900000000358e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.279999999999999881e-10 1.067299620000000004e+00 9.409753899999999794e-12 5.916440840000000385e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.280000000000000047e-10 1.067299620000000004e+00 9.409739780000000367e-12 5.916444039999999809e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.280000000000000213e-10 1.067299620000000004e+00 9.409766419999999913e-12 5.916439529999999548e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.280000000000000378e-10 1.067299620000000004e+00 9.409819040000000562e-12 5.916447120000000012e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.280000000000000027e-10 1.067299620000000004e+00 9.409745180000000253e-12 5.916434870000000008e-13 7.253139659999999767e-01 7.191784310000000069e-01
7.279999999999999676e-10 1.067299620000000004e+00 9.409754330000000689e-12 5.916442669999999866e-13 7.253139659999999767e-01 7.191784310000000069e-01
8.280000000000000359e-10 1.067299620000000004e+00 9.409842260000000395e-12 5.916442039999999664e-13 7.253139659999999767e-01 7.191784310000000069e-01
9.280000000000000007e-10 1.067299620000000004e+00 9.409839360000000337e-12 5.916446830000000127e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.027999999999999966e-09 1.067299620000000004e+00 9.409744539999999561e-12 5.916438420000000442e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.128000000000000034e-09 1.067299620000000004e+00 9.409751319999999274e-12 5.916443520000000155e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.228000000000000102e-09 1.067299620000000004e+00 9.409753799999999737e-12 5.916442060000000039e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.327999999999999964e-09 1.067299620000000004e+00 9.409812999999999983e-12 5.916439310000000471e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.428000000000000032e-09 1.067299620000000004e+00 9.409835569999999441e-12 5.916444839999999665e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.528000000000000100e-09 1.067299620000000004e+00 9.409783930000000004e-12 5.916441399999999779e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.627999999999999962e-09 1.067299620000000004e+00 9.409761799999999508e-12 5.916448640000000243e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.728000000000000030e-09 1.067299620000000004e+00 9.409760279999999277e-12 5.916436070000000297e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.828000000000000098e-09 1.067299620000000004e+00 9.409794700000000728e-12 5.916443179999999838e-13 7.253139659999999767e-01 7.191784310000000069e-01
1.927999999999999960e-09 1.067299620000000004e+00 9.409759370000000690e-12 5.916440010000000471e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.028000000000000028e-09 1.067299620000000004e+00 9.409787580000000496e-12 5.916445590000000098e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.128000000000000096e-09 1.067299620000000004e+00 9.409765969999999653e-12 5.916440620000000298e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.228000000000000164e-09 1.067299620000000004e+00 9.409757679999999391e-12 5.916441350000000356e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.327999999999999819e-09 1.067299620000000004e+00 9.409798780000000499e-12 5.916442129999999837e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.427999999999999887e-09 1.067299620000000004e+00 9.409833119999999643e-12 5.916440889999999808e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.527999999999999956e-09 1.067299620000000004e+00 9.409796609999999892e-12 5.916444969999999578e-13 7.253139659999999767e-01 7.191784310000000069e-01
