time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 1.317938150000000030e+00 2.173096030000000174e-09 2.098103479999999809e-09 5.931898140000000375e-01 6.923637630000000209e-01
9.999999999999999799e-13 1.317938150000000030e+00 2.173125029999999906e-09 2.098101170000000066e-09 5.931898140000000375e-01 6.923637630000000209e-01
1.999999999999999960e-12 1.317938150000000030e+00 2.173093510000000115e-09 2.098100810000000116e-09 5.931898140000000375e-01 6.923637630000000209e-01
3.999999999999999920e-12 1.317938150000000030e+00 2.173045250000000200e-09 2.098101409999999894e-09 5.931898140000000375e-01 6.923637630000000209e-01
7.999999999999999839e-12 1.317938150000000030e+00 2.173001979999999972e-09 2.098103859999999848e-09 5.931898140000000375e-01 6.923637630000000209e-01
1.599999999999999968e-11 1.317938150000000030e+00 2.172987870000000189e-09 2.098105179999999938e-09 5.931898140000000375e-01 6.923637630000000209e-01
3.199999999999999936e-11 1.317938150000000030e+00 2.172996750000000042e-09 2.098103770000000067e-09 5.931898140000000375e-01 6.923637630000000209e-01
6.399999999999999871e-11 1.317938150000000030e+00 2.172996210000000118e-09 2.098103130000000111e-09 5.931898140000000375e-01 6.923637630000000209e-01
1.279999999999999974e-10 1.317938150000000030e+00 2.172994380000000031e-09 2.098103549999999914e-09 5.931898140000000375e-01 6.923637630000000209e-01
2.279999999999999881e-10 1.317938150000000030e+00 2.172994109999999862e-09 2.098103349999999851e-09 5.931898140000000375e-01 6.923637630000000209e-01
3.280000000000000047e-10 1.317938150000000030e+00 2.172992889999999804e-09 2.098103579999999841e-09 5.931898140000000375e-01 6.923637630000000209e-01
4.280000000000000213e-10 1.317938150000000030e+00 2.172992829999999951e-09 2.098103399999999867e-09 5.931898140000000375e-01 6.923637630000000209e-01
5.280000000000000378e-10 1.317938150000000030e+00 2.172992319999999953e-09 2.098103560000000166e-09 5.931898140000000375e-01 6.923637630000000209e-01
6.280000000000000027e-10 1.317938150000000030e+00 2.172992379999999807e-09 2.098103410000000118e-09 5.931898140000000375e-01 6.923637630000000209e-01
7.279999999999999676e-10 1.317938150000000030e+00 2.172992110000000052e-09 2.098103540000000077e-09 5.931898140000000375e-01 6.923637630000000209e-01
8.280000000000000359e-10 1.317938150000000030e+00 2.172992119999999890e-09 2.098103419999999956e-09 5.931898140000000375e-01 6.923637630000000209e-01
9.280000000000000007e-10 1.317938150000000030e+00 2.172992080000000125e-09 2.098103529999999825e-09 5.931898140000000375e-01 6.923637630000000209e-01
1.027999999999999966e-09 1.317938150000000030e+00 2.172991980000000093e-09 2.098103429999999794e-09 5.931898140000000375e-01 6.923637630000000209e-01
1.128000000000000034e-09 1.317938150000000030e+00 2.172992030000000109e-09 2.098103529999999825e-09 5.931898140000000375e-01 6.923637630000000209e-01
