time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 3.476263490000000046e-03 2.871116540000000091e-11 2.059311069999999928e-11 5.950082260000000289e-01 4.600008629999999952e-17 -4.203748460000000136e-12 -2.203876880000000182e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 3.471939509999999972e-03 -8.205498159999999720e-06 3.854425149999999855e-06 5.944347030000000087e-01 -1.712179090000000057e-06 1.130624669999999920e-03 -8.629179439999999602e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 3.467485509999999882e-03 -1.090994279999999976e-05 5.068318129999999732e-06 5.938927149999999600e-01 -2.707056570000000100e-06 1.161045039999999929e-03 -8.738513379999999836e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 3.458544970000000055e-03 -1.154646819999999932e-05 5.766328119999999684e-06 5.928379679999999929e-01 -3.551251210000000034e-06 1.154585920000000083e-03 -8.590676520000000305e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 3.440554230000000130e-03 -1.037238469999999998e-05 5.383490150000000266e-06 5.907688119999999765e-01 -3.263268379999999812e-06 1.144590769999999976e-03 -8.508504240000000409e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 3.404058279999999919e-03 -9.499619470000000181e-06 5.579136569999999967e-06 5.866580000000000128e-01 -3.374839169999999858e-06 1.125596819999999951e-03 -8.230207340000000394e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 3.324077390000000111e-03 -7.737891489999999475e-06 6.340916760000000375e-06 5.777335009999999826e-01 -3.830156940000000269e-06 1.161266540000000002e-03 -8.086083560000000350e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 3.058468280000000133e-03 2.993822220000000169e-06 1.138137109999999977e-05 5.511720879999999489e-01 -6.845702969999999923e-06 1.617606159999999960e-03 -9.066094499999999973e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 2.751670680000000216e-03 2.003249160000000008e-05 -1.632340249999999918e-06 5.358449870000000503e-01 7.100503370000000400e-07 9.515563380000000536e-04 -6.794675789999999682e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.063999999999999990e-11 2.752683230000000075e-03 4.680107699999999860e-06 2.460804519999999891e-07 5.356382060000000056e-01 -9.774414029999999505e-08 1.282917989999999943e-05 -1.594076430000000128e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.191999999999999929e-11 2.755126059999999863e-03 4.265483000000000238e-06 5.048221840000000245e-07 5.352533569999999852e-01 -3.318412869999999956e-07 3.800067600000000042e-06 -9.219016150000000515e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.447999999999999969e-11 2.760176200000000104e-03 4.759644790000000193e-06 3.689750680000000153e-07 5.343448960000000136e-01 -1.886536809999999973e-07 1.170691389999999970e-05 -1.663179939999999925e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.959999999999999888e-11 2.770749140000000176e-03 4.041225970000000347e-06 5.020398490000000488e-07 5.324285840000000380e-01 -3.237850090000000167e-07 2.382708289999999864e-06 -9.452136130000000084e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.983999999999999725e-11 2.793508029999999982e-03 4.118772709999999747e-06 3.099106770000000210e-07 5.287076680000000195e-01 -1.561913259999999902e-07 9.322809289999999522e-06 -1.617979139999999895e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.032000000000000046e-11 2.844229220000000190e-03 2.909636429999999861e-06 4.210706569999999988e-07 5.217016880000000523e-01 -2.731433499999999985e-07 -1.721629839999999994e-06 -8.593221450000000677e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.127999999999999395e-11 2.958556529999999823e-03 2.478364009999999954e-06 2.035310610000000074e-07 5.093916889999999809e-01 -9.253624370000000215e-08 3.156433320000000134e-06 -1.443982750000000045e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.732000000000000068e-10 3.198118340000000170e-03 1.349981239999999914e-06 2.451739550000000177e-07 4.908538709999999972e-01 -1.670660460000000033e-07 -8.395151999999999205e-06 -5.470704950000000365e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.370400000000000066e-10 3.604171279999999946e-03 1.347921940000000012e-06 -2.334942530000000107e-08 4.697576239999999848e-01 4.246640029999999812e-08 1.180508879999999935e-07 -9.790955819999999342e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.356481780000000438e-10 4.063115570000000280e-03 5.471263520000000048e-07 5.426074670000000226e-08 4.563434809999999953e-01 -5.432871140000000029e-08 -6.299170789999999892e-06 -6.141952270000000310e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.115437329999999921e-09 4.413794710000000163e-03 8.626055899999999571e-07 -1.195802069999999992e-07 4.569101640000000075e-01 9.774413059999999692e-08 3.450691689999999980e-06 -6.494290679999999880e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.864413580000000000e-09 4.661986869999999901e-03 2.265224250000000015e-07 3.657955590000000302e-08 4.686242159999999823e-01 -4.584111409999999832e-08 -4.500200289999999699e-06 9.857535480000000019e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.864413579999999855e-09 4.834836720000000067e-03 5.837331709999999618e-07 -1.026445379999999953e-07 4.840294339999999806e-01 8.634055660000000625e-08 4.109389230000000098e-06 -5.777316140000000252e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.864413579999999711e-09 4.946900500000000339e-03 -1.169178769999999990e-09 5.723825219999999710e-08 4.959950280000000045e-01 -5.867680520000000070e-08 -4.307946109999999633e-06 1.297605840000000087e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.864413580000000394e-09 5.030107669999999732e-03 4.285472959999999943e-07 -8.820102899999999614e-08 5.055877850000000118e-01 7.748585959999999807e-08 4.166845870000000231e-06 -5.651160320000000262e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.864413580000000249e-09 5.094495240000000008e-03 -1.011167920000000046e-07 6.705088230000000318e-08 5.137761720000000309e-01 -6.462959340000000310e-08 -4.276083260000000284e-06 1.340242890000000044e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.864413580000000105e-09 5.145655049999999647e-03 3.673190170000000171e-07 -8.129170749999999538e-08 5.210811789999999499e-01 7.326707350000000544e-08 4.190870409999999997e-06 -5.650490629999999621e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.864413579999999960e-09 5.187413580000000378e-03 -1.362894210000000022e-07 7.189227399999999418e-08 5.277507259999999478e-01 -6.754791939999999458e-08 -4.256560410000000210e-06 1.321480590000000074e-06 0.000000000000000000e+00 0.000000000000000000e+00
8.864413580000000643e-09 5.222520409999999690e-03 3.496569079999999762e-07 -7.784290130000000092e-08 5.339320929999999965e-01 7.115429690000000010e-08 4.206628360000000055e-06 -5.676216780000000272e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.864413579999999671e-09 5.252953779999999795e-03 -1.417663569999999983e-07 7.423588780000000442e-08 5.397121160000000195e-01 -6.894829479999999774e-08 -4.243372539999999810e-06 1.291894479999999955e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.086441360000000003e-08 5.280167599999999878e-03 3.531595780000000248e-07 -7.618024490000000484e-08 5.451623770000000313e-01 7.012643390000000638e-08 4.217626730000000263e-06 -5.706280939999999791e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.186441360000000071e-08 5.305327949999999980e-03 -1.312874569999999931e-07 7.528494289999999882e-08 5.503289289999999667e-01 -6.956241510000000274e-08 -4.233613960000000246e-06 1.256386790000000098e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.286441359999999974e-08 5.329351779999999886e-03 3.694946529999999995e-07 -7.542613960000000138e-08 5.552507629999999805e-01 6.965086739999999359e-08 4.226493580000000112e-06 -5.745476740000000206e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.386441360000000042e-08 5.352961489999999607e-03 -1.093709150000000031e-07 7.575441070000000147e-08 5.599389409999999678e-01 -6.982355130000000131e-08 -4.224920500000000235e-06 1.212924239999999907e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.486441359999999945e-08 5.376893350000000113e-03 3.957535649999999950e-07 -7.503816699999999698e-08 5.644002930000000529e-01 6.939922610000000582e-08 4.234517999999999934e-06 -5.792857570000000085e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.586441359999999848e-08 5.401849979999999787e-03 -7.888392550000000122e-08 7.603051269999999622e-08 5.686086710000000100e-01 -6.996473579999999667e-08 -4.217088390000000272e-06 1.161374690000000102e-06 0.000000000000000000e+00 0.000000000000000000e+00
