time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 6.615877740000000173e-01 7.862450119999999712e-13 7.135705009999999618e-14 7.234466779999999542e-01 6.671269899999999753e-01
9.999999999999999799e-13 6.615877749999999891e-01 -1.812808780000000090e-11 -3.402866129999999724e-11 7.234467209999999593e-01 6.671270339999999521e-01
1.999999999999999960e-12 6.615877749999999891e-01 -6.254328890000000640e-11 -3.154385470000000063e-11 7.234467519999999707e-01 6.671270639999999919e-01
3.999999999999999920e-12 6.615877759999999608e-01 -9.628353169999999592e-11 -1.739563349999999905e-11 7.234467959999999476e-01 6.671270980000000295e-01
7.999999999999999839e-12 6.615877770000000435e-01 -6.192037070000000185e-11 4.092568400000000085e-12 7.234468309999999569e-01 6.671270849999999530e-01
1.599999999999999968e-11 6.615877770000000435e-01 -1.083052449999999914e-12 9.042561400000000599e-12 7.234468440000000333e-01 6.671270339999999521e-01
3.199999999999999936e-11 6.615877770000000435e-01 6.343602139999999691e-12 1.865304430000000112e-12 7.234468520000000291e-01 6.671270080000000213e-01
6.399999999999999871e-11 6.615877770000000435e-01 -9.158961269999999665e-12 -4.970539199999999884e-13 7.234468699999999641e-01 6.671269960000000276e-01
1.279999999999999974e-10 6.615877770000000435e-01 1.715554579999999953e-12 3.514127520000000236e-13 7.234468929999999798e-01 6.671269880000000319e-01
2.279999999999999881e-10 6.615877770000000435e-01 -4.150878820000000066e-12 -2.606694930000000234e-13 7.234469030000000300e-01 6.671269869999999491e-01
3.280000000000000047e-10 6.615877770000000435e-01 3.340985400000000055e-12 3.606611519999999946e-13 7.234468929999999798e-01 6.671269890000000036e-01
4.280000000000000213e-10 6.615877770000000435e-01 -1.476663369999999977e-12 -2.228486540000000072e-13 7.234468800000000144e-01 6.671269899999999753e-01
5.280000000000000378e-10 6.615877770000000435e-01 3.602203600000000199e-12 3.519092579999999816e-13 7.234468640000000228e-01 6.671269899999999753e-01
6.280000000000000027e-10 6.615877770000000435e-01 -3.097603410000000180e-13 -2.142007240000000071e-13 7.234468499999999747e-01 6.671269899999999753e-01
7.279999999999999676e-10 6.615877770000000435e-01 3.329677920000000178e-12 3.515147819999999934e-13 7.234468349999999548e-01 6.671269890000000036e-01
8.280000000000000359e-10 6.615877770000000435e-01 1.902989040000000024e-13 -2.129018569999999942e-13 7.234468229999999611e-01 6.671269890000000036e-01
9.280000000000000007e-10 6.615877770000000435e-01 2.946443440000000001e-12 3.540467179999999885e-13 7.234468099999999957e-01 6.671269890000000036e-01
1.027999999999999966e-09 6.615877770000000435e-01 4.104475119999999763e-13 -2.142820659999999908e-13 7.234467999999999455e-01 6.671269890000000036e-01
1.128000000000000034e-09 6.615877770000000435e-01 2.597978860000000031e-12 3.570540210000000051e-13 7.234467900000000062e-01 6.671269880000000319e-01
1.228000000000000102e-09 6.615877770000000435e-01 5.084333550000000439e-13 -2.164418929999999908e-13 7.234467810000000387e-01 6.671269880000000319e-01
1.327999999999999964e-09 6.615877770000000435e-01 2.316148169999999894e-12 3.597677549999999973e-13 7.234467730000000429e-01 6.671269880000000319e-01
1.428000000000000032e-09 6.615877770000000435e-01 5.485889420000000395e-13 -2.185493400000000055e-13 7.234467660000000189e-01 6.671269880000000319e-01
1.528000000000000100e-09 6.615877770000000435e-01 2.096765750000000132e-12 3.619487230000000218e-13 7.234467589999999948e-01 6.671269880000000319e-01
1.627999999999999962e-09 6.615877770000000435e-01 5.588043829999999512e-13 -2.202715099999999977e-13 7.234467530000000535e-01 6.671269880000000319e-01
1.728000000000000030e-09 6.615877770000000435e-01 1.927400570000000134e-12 3.635483459999999831e-13 7.234467470000000011e-01 6.671269880000000319e-01
1.828000000000000098e-09 6.615877770000000435e-01 5.528001460000000391e-13 -2.215016609999999878e-13 7.234467420000000315e-01 6.671269880000000319e-01
1.927999999999999960e-09 6.615877770000000435e-01 1.796444300000000026e-12 3.645822609999999880e-13 7.234467369999999509e-01 6.671269880000000319e-01
2.028000000000000028e-09 6.615877770000000435e-01 5.380928110000000377e-13 -2.222301510000000076e-13 7.234467319999999813e-01 6.671269880000000319e-01
2.128000000000000096e-09 6.615877770000000435e-01 1.694341199999999913e-12 3.650992409999999832e-13 7.234467279999999834e-01 6.671269890000000036e-01
2.228000000000000164e-09 6.615877770000000435e-01 5.191651920000000055e-13 -2.224879239999999892e-13 7.234467249999999572e-01 6.671269890000000036e-01
2.327999999999999819e-09 6.615877770000000435e-01 1.614033169999999911e-12 3.651528759999999761e-13 7.234467209999999593e-01 6.671269890000000036e-01
2.427999999999999887e-09 6.615877770000000435e-01 4.988228400000000330e-13 -2.223226060000000037e-13 7.234467180000000441e-01 6.671269890000000036e-01
2.527999999999999956e-09 6.615877770000000435e-01 1.550208859999999943e-12 3.648044120000000090e-13 7.234467150000000180e-01 6.671269890000000036e-01
2.628000000000000024e-09 6.615877770000000435e-01 4.785952529999999904e-13 -2.217890249999999997e-13 7.234467119999999918e-01 6.671269890000000036e-01
2.728000000000000092e-09 6.615877770000000435e-01 1.499074679999999908e-12 3.641092349999999931e-13 7.234467100000000483e-01 6.671269890000000036e-01
2.828000000000000160e-09 6.615877770000000435e-01 4.595290110000000448e-13 -2.209373169999999877e-13 7.234467079999999939e-01 6.671269890000000036e-01
2.927999999999999815e-09 6.615877770000000435e-01 1.457635100000000036e-12 3.631193880000000058e-13 7.234467049999999677e-01 6.671269890000000036e-01
3.027999999999999883e-09 6.615877770000000435e-01 4.420949719999999757e-13 -2.198156589999999966e-13 7.234467030000000243e-01 6.671269890000000036e-01
3.127999999999999952e-09 6.615877770000000435e-01 1.423886859999999989e-12 3.618794740000000002e-13 7.234467020000000526e-01 6.671269890000000036e-01
3.228000000000000020e-09 6.615877770000000435e-01 4.266222689999999928e-13 -2.184663329999999997e-13 7.234466999999999981e-01 6.671269890000000036e-01
3.328000000000000088e-09 6.615877770000000435e-01 1.395936659999999978e-12 3.604307760000000219e-13 7.234466980000000547e-01 6.671269890000000036e-01
3.428000000000000156e-09 6.615877770000000435e-01 4.130542859999999902e-13 -2.169254780000000095e-13 7.234466969999999719e-01 6.671269890000000036e-01
3.527999999999999811e-09 6.615877770000000435e-01 1.372606779999999943e-12 3.588069989999999790e-13 7.234466960000000002e-01 6.671269890000000036e-01
3.627999999999999879e-09 6.615877770000000435e-01 4.014624430000000086e-13 -2.152245280000000085e-13 7.234466950000000285e-01 6.671269890000000036e-01
3.728000000000000361e-09 6.615877770000000435e-01 1.353060410000000007e-12 3.570361969999999830e-13 7.234466929999999740e-01 6.671269890000000036e-01
3.827999999999999602e-09 6.615877770000000435e-01 3.917063660000000146e-13 -2.133905990000000121e-13 7.234466920000000023e-01 6.671269890000000036e-01
3.927999999999999671e-09 6.615877770000000435e-01 1.336493689999999922e-12 3.551462139999999938e-13 7.234466910000000306e-01 6.671269890000000036e-01
4.027999999999999739e-09 6.615877770000000435e-01 3.835698589999999816e-13 -2.114494270000000062e-13 7.234466910000000306e-01 6.671269890000000036e-01
4.127999999999999807e-09 6.615877770000000435e-01 1.322238720000000057e-12 3.531572750000000241e-13 7.234466899999999479e-01 6.671269890000000036e-01
4.227999999999999875e-09 6.615877770000000435e-01 3.768825539999999876e-13 -2.094179900000000012e-13 7.234466889999999761e-01 6.671269890000000036e-01
4.327999999999999944e-09 6.615877770000000435e-01 1.309869820000000009e-12 3.510876200000000210e-13 7.234466880000000044e-01 6.671269890000000036e-01
4.428000000000000012e-09 6.615877770000000435e-01 3.715617320000000002e-13 -2.073130419999999972e-13 7.234466880000000044e-01 6.671269890000000036e-01
4.528000000000000080e-09 6.615877770000000435e-01 1.299028350000000026e-12 3.489518620000000232e-13 7.234466870000000327e-01 6.671269890000000036e-01
4.628000000000000148e-09 6.615877770000000435e-01 3.674347890000000205e-13 -2.051493659999999897e-13 7.234466859999999500e-01 6.671269890000000036e-01
4.728000000000000217e-09 6.615877770000000435e-01 1.289546039999999949e-12 3.467625240000000037e-13 7.234466859999999500e-01 6.671269890000000036e-01
4.828000000000000285e-09 6.615877770000000435e-01 3.642792020000000187e-13 -2.029376499999999981e-13 7.234466849999999782e-01 6.671269890000000036e-01
4.928000000000000353e-09 6.615877770000000435e-01 1.280989630000000006e-12 3.445316389999999860e-13 7.234466849999999782e-01 6.671269890000000036e-01
5.027999999999999594e-09 6.615877770000000435e-01 3.620571860000000135e-13 -2.006888680000000030e-13 7.234466849999999782e-01 6.671269890000000036e-01
5.127999999999999663e-09 6.615877770000000435e-01 1.273287960000000034e-12 3.422673700000000213e-13 7.234466840000000065e-01 6.671269890000000036e-01
5.227999999999999731e-09 6.615877770000000435e-01 3.605504120000000152e-13 -1.984108720000000043e-13 7.234466840000000065e-01 6.671269890000000036e-01
5.327999999999999799e-09 6.615877770000000435e-01 1.266247610000000096e-12 3.399778210000000137e-13 7.234466830000000348e-01 6.671269890000000036e-01
5.427999999999999867e-09 6.615877770000000435e-01 3.597989069999999927e-13 -1.961124789999999987e-13 7.234466830000000348e-01 6.671269890000000036e-01
5.527999999999999936e-09 6.615877770000000435e-01 1.259850780000000015e-12 3.376705399999999927e-13 7.234466830000000348e-01 6.671269890000000036e-01
5.628000000000000004e-09 6.615877770000000435e-01 3.595909440000000174e-13 -1.937974240000000015e-13 7.234466830000000348e-01 6.671269890000000036e-01
5.728000000000000072e-09 6.615877770000000435e-01 1.253879089999999904e-12 3.353498519999999811e-13 7.234466819999999521e-01 6.671269890000000036e-01
5.828000000000000140e-09 6.615877770000000435e-01 3.598536319999999787e-13 -1.914715249999999877e-13 7.234466819999999521e-01 6.671269890000000036e-01
5.928000000000000209e-09 6.615877770000000435e-01 1.248289220000000040e-12 3.330200660000000045e-13 7.234466819999999521e-01 6.671269890000000036e-01
6.028000000000000277e-09 6.615877770000000435e-01 3.605474560000000173e-13 -1.891394210000000119e-13 7.234466819999999521e-01 6.671269890000000036e-01
6.128000000000000345e-09 6.615877770000000435e-01 1.243012670000000059e-12 3.306861680000000109e-13 7.234466809999999803e-01 6.671269890000000036e-01
