time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 1.034396689999999945e-02 1.611212859999999983e-09 2.164909219999999961e-09 4.984315380000000073e-01 6.233513500000000154e-16 -7.852385409999999275e-12 -3.349558859999999926e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 1.033963029999999950e-02 -1.079863010000000060e-05 3.425531359999999900e-06 4.979210940000000085e-01 -1.487187480000000035e-06 1.167485040000000064e-03 -9.042361240000000404e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 1.033515590000000026e-02 -1.344716779999999985e-05 4.529540850000000165e-06 4.974373360000000077e-01 -2.371442769999999789e-06 1.199489740000000059e-03 -9.169689479999999998e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 1.032616029999999969e-02 -1.410948569999999955e-05 5.201603580000000166e-06 4.964922929999999734e-01 -3.150008959999999802e-06 1.192265679999999963e-03 -9.003697300000000495e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 1.030796619999999920e-02 -1.329623949999999957e-05 4.929020419999999692e-06 4.946184089999999811e-01 -2.948448639999999846e-06 1.183784239999999916e-03 -8.908013190000000107e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 1.026996179999999960e-02 -1.381300089999999917e-05 5.543803359999999666e-06 4.906875479999999734e-01 -3.288552759999999897e-06 1.186090280000000070e-03 -8.662865989999999575e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 1.017012290000000006e-02 -2.011146719999999839e-05 9.225775549999999439e-06 4.795393390000000089e-01 -5.459985689999999788e-06 1.411743889999999939e-03 -9.081434189999999882e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 9.867775690000000349e-03 -9.869985140000000251e-06 1.236188710000000039e-05 4.477735950000000242e-01 -7.550566279999999834e-06 1.666091240000000095e-03 -9.292612819999999767e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 9.534878899999999977e-03 2.374956580000000088e-05 1.593717330000000062e-06 4.259896200000000133e-01 -1.221684930000000061e-06 1.138465439999999940e-03 -7.573180770000000062e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.063999999999999990e-11 9.535917459999999554e-03 7.760312509999999904e-06 6.902522600000000224e-07 4.257105869999999737e-01 -4.530145570000000180e-07 2.669785850000000045e-05 -2.372474849999999937e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.191999999999999929e-11 9.538567120000000787e-03 7.871358349999999616e-06 6.375688750000000062e-07 4.250819789999999987e-01 -3.339759039999999948e-07 1.443384409999999923e-05 -1.878943619999999838e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.447999999999999969e-11 9.544231970000000703e-03 7.730377180000000365e-06 8.555983400000000252e-07 4.236017919999999770e-01 -5.409336670000000279e-07 2.441755239999999992e-05 -2.539147569999999858e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.959999999999999888e-11 9.556715060000000109e-03 7.237048069999999586e-06 6.929814019999999527e-07 4.205020150000000068e-01 -3.768481749999999869e-07 1.127251490000000033e-05 -1.917700659999999890e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.983999999999999725e-11 9.585722059999999406e-03 6.274935990000000163e-06 7.813785529999999651e-07 4.144950290000000148e-01 -4.917722140000000000e-07 1.890910760000000040e-05 -2.469751749999999981e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.032000000000000046e-11 9.656961900000000237e-03 4.737614000000000140e-06 5.726769150000000491e-07 4.033745120000000184e-01 -3.029960190000000115e-07 1.823843879999999945e-06 -1.761096519999999873e-05 0.000000000000000000e+00 0.000000000000000000e+00
9.127999999999999395e-11 9.833026349999999388e-03 3.067504380000000072e-06 5.922864119999999730e-07 3.844752339999999990e-01 -3.679024240000000106e-07 4.915072059999999616e-06 -2.159213499999999855e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.732000000000000068e-10 1.022034890000000050e-02 2.226028210000000000e-06 2.901787010000000211e-07 3.578124480000000052e-01 -1.054092169999999942e-07 -1.246534719999999917e-05 -1.194905580000000026e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.370400000000000066e-10 1.086948629999999992e-02 1.493819079999999963e-06 2.548447390000000094e-07 3.307246369999999880e-01 -1.055193860000000040e-07 -8.620589190000000274e-07 -1.328314100000000042e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.371575729999999977e-10 1.137557789999999944e-02 1.476018859999999946e-06 1.765148809999999879e-08 3.209952939999999866e-01 1.087660699999999985e-07 -9.452412310000000308e-06 -4.431179169999999641e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.229172210000000216e-10 1.189888539999999981e-02 1.247364759999999976e-06 8.389373719999999896e-08 3.239440459999999855e-01 -1.598591220000000015e-08 4.082955030000000263e-06 -8.437450309999999640e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.445662680000000099e-09 1.224090589999999971e-02 1.202625130000000032e-06 -8.000405800000000485e-08 3.382636500000000268e-01 1.135462309999999940e-07 -6.188189390000000156e-06 -1.471805289999999956e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.401947140000000043e-09 1.258579720000000020e-02 7.108841379999999991e-07 5.125555419999999936e-08 3.614759550000000154e-01 -4.769102330000000249e-08 5.424719599999999865e-06 -6.948373619999999851e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.401947139999999898e-09 1.281489679999999950e-02 5.989107089999999853e-07 -8.775620039999999948e-08 3.805254530000000135e-01 8.935827299999999621e-08 -5.773295639999999703e-06 -6.278544379999999528e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.401947140000000167e-09 1.298401230000000017e-02 3.308306259999999995e-07 5.474057099999999919e-08 3.964688270000000236e-01 -6.058714860000000286e-08 5.501262379999999649e-06 -6.542776529999999629e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.401947140000000023e-09 1.311129339999999970e-02 3.782519200000000187e-07 -8.030398719999999820e-08 4.097319939999999883e-01 8.004491449999999401e-08 -5.703986739999999693e-06 -4.067503040000000036e-07 0.000000000000000000e+00 0.000000000000000000e+00
6.401947139999999878e-09 1.321038469999999930e-02 1.926437759999999958e-07 6.261660519999999737e-08 4.206400209999999751e-01 -6.761688279999999829e-08 5.554908230000000378e-06 -6.437235550000000384e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.401947139999999734e-09 1.329038090000000082e-02 2.893479289999999853e-07 -7.348191420000000490e-08 4.296084539999999730e-01 7.478841009999999448e-08 -5.666737990000000265e-06 -3.620536240000000065e-07 0.000000000000000000e+00 0.000000000000000000e+00
8.401947140000000416e-09 1.335704889999999971e-02 1.343403839999999873e-07 6.783094409999999744e-08 4.370256439999999909e-01 -7.125022040000000351e-08 5.581533779999999979e-06 -6.422347550000000231e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.401947139999999445e-09 1.341419959999999925e-02 2.506890050000000205e-07 -6.972025329999999467e-08 4.432466629999999852e-01 7.232222550000000143e-08 -5.646735350000000197e-06 -3.595962950000000240e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.040194710000000078e-08 1.346445400000000070e-02 1.085645860000000001e-07 7.034550619999999816e-08 4.485316019999999737e-01 -7.272937220000000512e-08 5.596455919999999885e-06 -6.425353860000000265e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.140194709999999980e-08 1.350964250000000026e-02 2.335436519999999983e-07 -6.805902079999999422e-08 4.531003510000000123e-01 7.142344930000000298e-08 -5.634993019999999926e-06 -3.643753579999999805e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.240194710000000049e-08 1.355107359999999962e-02 9.728219960000000128e-08 7.137036259999999631e-08 4.570967229999999826e-01 -7.314035089999999949e-08 5.605298289999999871e-06 -6.431011389999999946e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.340194709999999952e-08 1.358976150000000029e-02 2.265154130000000030e-07 -6.741631850000000356e-08 4.606381909999999746e-01 7.123017940000000415e-08 -5.627860289999999673e-06 -3.712809379999999880e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.440194710000000020e-08 1.362643489999999964e-02 9.334063939999999606e-08 7.171581519999999908e-08 4.637906549999999961e-01 -7.310089569999999546e-08 5.610805130000000321e-06 -6.439265529999999596e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.540194709999999923e-08 1.366159070000000017e-02 2.246759349999999954e-07 -6.717769179999999878e-08 4.666335620000000017e-01 7.128752299999999965e-08 -5.623160649999999990e-06 -3.793883729999999854e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.640194710000000156e-08 1.369567510000000050e-02 9.319467160000000290e-08 7.181756630000000066e-08 4.691934739999999993e-01 -7.292512169999999366e-08 5.614340049999999989e-06 -6.448765140000000166e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.740194710000000059e-08 1.372900189999999923e-02 2.257587329999999878e-07 -6.708864730000000114e-08 4.715208160000000093e-01 7.141365419999999905e-08 -5.620023779999999843e-06 -3.891767790000000103e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.840194709999999962e-08 1.376183589999999991e-02 9.527256809999999851e-08 7.184678119999999782e-08 4.736296229999999996e-01 -7.273429469999999436e-08 5.616643679999999777e-06 -6.459370610000000264e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.940194709999999865e-08 1.379437940000000085e-02 2.285678160000000065e-07 -6.703493569999999875e-08 4.755579659999999986e-01 7.153037610000000171e-08 -5.617908340000000216e-06 -3.999110550000000011e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.040194710000000099e-08 1.382680759999999932e-02 9.869148510000000088e-08 7.186075320000000477e-08 4.773112740000000076e-01 -7.256483540000000538e-08 5.618101510000000231e-06 -6.470707949999999979e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.140194710000000001e-08 1.385925019999999924e-02 2.324134999999999920e-07 -6.698583669999999435e-08 4.789211939999999945e-01 7.162072909999999461e-08 -5.616494919999999711e-06 -4.111640050000000066e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.240194709999999904e-08 1.389182350000000080e-02 1.029037800000000022e-07 7.187507739999999495e-08 4.803882429999999926e-01 -7.242269830000000084e-08 5.618976480000000135e-06 -6.482354510000000340e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.340194710000000138e-08 1.392460920000000019e-02 2.368534160000000103e-07 -6.693423390000000245e-08 4.817400510000000025e-01 7.168478780000000483e-08 -5.615565549999999830e-06 -4.225432739999999886e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.440194710000000041e-08 1.395768349999999998e-02 1.075467490000000061e-07 7.189221869999999475e-08 4.829738960000000136e-01 -7.230469519999999343e-08 5.619449099999999743e-06 -6.493960389999999672e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.540194709999999944e-08 1.399109509999999987e-02 2.415871920000000129e-07 -6.687998849999999865e-08 4.841145490000000051e-01 7.172710219999999385e-08 -5.614970069999999664e-06 -4.337429630000000195e-07 0.000000000000000000e+00 0.000000000000000000e+00
