time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 4.440494649999999766e-01 2.626143209999999870e-12 1.648430420000000076e-12 6.227301290000000211e-01 5.943863870000000160e-01
9.999999999999999799e-13 4.440494649999999766e-01 2.602487739999999978e-12 1.650121579999999984e-12 6.227301290000000211e-01 5.943863870000000160e-01
1.999999999999999960e-12 4.440494649999999766e-01 2.607138960000000022e-12 1.649824590000000077e-12 6.227301290000000211e-01 5.943863870000000160e-01
3.999999999999999920e-12 4.440494649999999766e-01 2.616592849999999889e-12 1.648825259999999922e-12 6.227301290000000211e-01 5.943863870000000160e-01
7.999999999999999839e-12 4.440494649999999766e-01 2.627418009999999868e-12 1.648174259999999949e-12 6.227301290000000211e-01 5.943863870000000160e-01
1.599999999999999968e-11 4.440494649999999766e-01 2.630218740000000075e-12 1.648243539999999996e-12 6.227301290000000211e-01 5.943863870000000160e-01
3.199999999999999936e-11 4.440494649999999766e-01 2.626407030000000056e-12 1.648227409999999934e-12 6.227301290000000211e-01 5.943863870000000160e-01
6.399999999999999871e-11 4.440494649999999766e-01 2.626092479999999827e-12 1.648522110000000014e-12 6.227301290000000211e-01 5.943863870000000160e-01
1.279999999999999974e-10 4.440494649999999766e-01 2.626192930000000056e-12 1.648366329999999914e-12 6.227301290000000211e-01 5.943863870000000160e-01
2.279999999999999881e-10 4.440494649999999766e-01 2.626085389999999854e-12 1.648504200000000096e-12 6.227301290000000211e-01 5.943863870000000160e-01
3.280000000000000047e-10 4.440494649999999766e-01 2.626237699999999809e-12 1.648361610000000057e-12 6.227301290000000211e-01 5.943863870000000160e-01
4.280000000000000213e-10 4.440494649999999766e-01 2.626166530000000165e-12 1.648498929999999921e-12 6.227301290000000211e-01 5.943863870000000160e-01
5.280000000000000378e-10 4.440494649999999766e-01 2.626256319999999814e-12 1.648362280000000000e-12 6.227301290000000211e-01 5.943863870000000160e-01
6.280000000000000027e-10 4.440494649999999766e-01 2.626176130000000052e-12 1.648497610000000007e-12 6.227301290000000211e-01 5.943863870000000160e-01
7.279999999999999676e-10 4.440494649999999766e-01 2.626219720000000092e-12 1.648363299999999942e-12 6.227301290000000211e-01 5.943863870000000160e-01
8.280000000000000359e-10 4.440494649999999766e-01 2.626183149999999823e-12 1.648496369999999978e-12 6.227301290000000211e-01 5.943863870000000160e-01
9.280000000000000007e-10 4.440494649999999766e-01 2.626234150000000183e-12 1.648365189999999943e-12 6.227301290000000211e-01 5.943863870000000160e-01
