time vout i_vip i_vin v_bias_p v_bias_n
0.000000000000000000e+00 1.308212050000000071e+00 5.338478740000000131e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
9.999999999999999799e-13 1.308212050000000071e+00 5.338479329999999657e-09 5.280182939999999717e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.999999999999999960e-12 1.308212050000000071e+00 5.338479019999999724e-09 5.280182929999999879e-09 5.399557740000000550e-01 6.443936550000000096e-01
3.999999999999999920e-12 1.308212050000000071e+00 5.338478520000000391e-09 5.280182929999999879e-09 5.399557740000000550e-01 6.443936550000000096e-01
7.999999999999999839e-12 1.308212050000000071e+00 5.338478080000000086e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.599999999999999968e-11 1.308212050000000071e+00 5.338478020000000232e-09 5.280182970000000057e-09 5.399557740000000550e-01 6.443936550000000096e-01
3.199999999999999936e-11 1.308212050000000071e+00 5.338478209999999631e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
6.399999999999999871e-11 1.308212050000000071e+00 5.338478280000000149e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.279999999999999974e-10 1.308212050000000071e+00 5.338478220000000296e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
2.279999999999999881e-10 1.308212050000000071e+00 5.338478239999999971e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
3.280000000000000047e-10 1.308212050000000071e+00 5.338478189999999955e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
4.280000000000000213e-10 1.308212050000000071e+00 5.338478230000000133e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
5.280000000000000378e-10 1.308212050000000071e+00 5.338478249999999809e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
6.280000000000000027e-10 1.308212050000000071e+00 5.338478249999999809e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
7.279999999999999676e-10 1.308212050000000071e+00 5.338478209999999631e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
8.280000000000000359e-10 1.308212050000000071e+00 5.338478189999999955e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
9.280000000000000007e-10 1.308212050000000071e+00 5.338478199999999793e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.027999999999999966e-09 1.308212050000000071e+00 5.338478239999999971e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.128000000000000034e-09 1.308212050000000071e+00 5.338478239999999971e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.228000000000000102e-09 1.308212050000000071e+00 5.338478230000000133e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.327999999999999964e-09 1.308212050000000071e+00 5.338478220000000296e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.428000000000000032e-09 1.308212050000000071e+00 5.338478249999999809e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.528000000000000100e-09 1.308212050000000071e+00 5.338478209999999631e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.627999999999999962e-09 1.308212050000000071e+00 5.338478199999999793e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.728000000000000030e-09 1.308212050000000071e+00 5.338478230000000133e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.828000000000000098e-09 1.308212050000000071e+00 5.338478230000000133e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
1.927999999999999960e-09 1.308212050000000071e+00 5.338478220000000296e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
2.028000000000000028e-09 1.308212050000000071e+00 5.338478220000000296e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
2.128000000000000096e-09 1.308212050000000071e+00 5.338478259999999647e-09 5.280182960000000219e-09 5.399557740000000550e-01 6.443936550000000096e-01
2.228000000000000164e-09 1.308212050000000071e+00 5.338478239999999971e-09 5.280182950000000381e-09 5.399557740000000550e-01 6.443936550000000096e-01
