# Logfile created on 2026-07-15 00:21:48 +0200 by logger.rb/v1.5.3
2026-07-15 00:21:48 +0200: Memory Usage (453108K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/CP/charge_pump/charge_pump_cell.gds
2026-07-15 00:21:48 +0200: Memory Usage (453108K) : Ruby Version for klayout: 3.2.3
2026-07-15 00:21:48 +0200: Memory Usage (454588K) : Loading database to memory is complete.
2026-07-15 00:21:48 +0200: Memory Usage (454588K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/CP/charge_pump/drc_run_charge_pump_cell/charge_pump_cell_charge_pump_cell_main.lyrdb
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : Evaluate switches.
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : tables selected: main
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : deep mode is enabled.
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : FEOL enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : BEOL enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : OFFGRID enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : PIN enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : FORBIDDEN enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : RECOMMENDED enabled: true
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : PreCheck DRC enabled: false
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : CONNECTIVITY_RULES enabled: true.
2026-07-15 00:21:48 +0200: Memory Usage (454768K) : Read in polygons from layers.
2026-07-15 00:21:48 +0200: Memory Usage (455688K) : activ_drw has 248 polygons
2026-07-15 00:21:48 +0200: Memory Usage (455688K) : activ_pin has 0 polygons
2026-07-15 00:21:48 +0200: Memory Usage (455688K) : activ_mask has 0 polygons
2026-07-15 00:21:48 +0200: Memory Usage (455688K) : activ_filler has 0 polygons
