# Logfile created on 2026-07-09 21:56:57 +0200 by logger.rb/v1.5.3
2026-07-09 21:56:57 +0200: Memory Usage (453960K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/CP/curr_source.oas
2026-07-09 21:56:57 +0200: Memory Usage (453960K) : Ruby Version for klayout: 3.2.3
2026-07-09 21:56:57 +0200: Memory Usage (455560K) : Loading database to memory is complete.
2026-07-09 21:56:57 +0200: Memory Usage (455560K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/CP/drc_run_curr_source/curr_source_curr_source_main.lyrdb
2026-07-09 21:56:57 +0200: Memory Usage (455688K) : Evaluate switches.
2026-07-09 21:56:57 +0200: Memory Usage (455688K) : tables selected: main
2026-07-09 21:56:57 +0200: Memory Usage (455688K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-09 21:56:57 +0200: Memory Usage (455688K) : deep mode is enabled.
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : FEOL enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : BEOL enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : OFFGRID enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : PIN enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : FORBIDDEN enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : RECOMMENDED enabled: true
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : PreCheck DRC enabled: false
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : CONNECTIVITY_RULES enabled: true.
2026-07-09 21:56:57 +0200: Memory Usage (455816K) : Read in polygons from layers.
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_drw has 40 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_mask has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_iopc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : activ_noqrc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : biwind_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (456744K) : biwind_opc has 0 polygons
