# Logfile created on 2026-07-07 20:46:24 +0200 by logger.rb/v1.5.3
2026-07-07 20:46:24 +0200: Memory Usage (453560K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/CP/curr_source.oas
2026-07-07 20:46:24 +0200: Memory Usage (453560K) : Ruby Version for klayout: 3.2.3
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : Loading database to memory is complete.
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/CP/drc_run_curr_source/curr_source_curr_source_main.lyrdb
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : Evaluate switches.
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : tables selected: main
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : deep mode is enabled.
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : FEOL enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : BEOL enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : OFFGRID enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : PIN enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : FORBIDDEN enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : RECOMMENDED enabled: true
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : PreCheck DRC enabled: false
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : CONNECTIVITY_RULES enabled: true.
2026-07-07 20:46:24 +0200: Memory Usage (455352K) : Read in polygons from layers.
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_drw has 37 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_iopc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : activ_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : biwind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : biwind_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : pemwind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_drw has 17 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_pin has 5 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_iopc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : gatpoly_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : cont_drw has 117 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : cont_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : nsd_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (456660K) : nsd_block has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457044K) : metal1_drw has 72 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457172K) : metal1_pin has 30 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457172K) : metal1_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457172K) : metal1_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457428K) : metal1_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457428K) : metal1_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457556K) : metal1_text has 2 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457556K) : metal1_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457556K) : metal1_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457556K) : metal1_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457684K) : metal1_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457684K) : metal1_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457812K) : passiv_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457812K) : passiv_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457940K) : passiv_sbump has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (457940K) : passiv_pillar has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458068K) : passiv_pdl has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458068K) : metal2_drw has 21 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458068K) : metal2_pin has 1 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458196K) : metal2_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458196K) : metal2_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458324K) : metal2_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458324K) : metal2_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458452K) : metal2_text has 1 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458452K) : metal2_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458452K) : metal2_noqrc has 0 polygons
