# Logfile created on 2026-07-09 23:17:09 +0200 by logger.rb/v1.5.3
2026-07-09 23:17:09 +0200: Memory Usage (452756K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/CP/vbias/vbias.gds
2026-07-09 23:17:09 +0200: Memory Usage (452756K) : Ruby Version for klayout: 3.2.3
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : Loading database to memory is complete.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/CP/vbias/drc_run_vbias/vbias_vbias_main.lyrdb
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : Evaluate switches.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : tables selected: main
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : deep mode is enabled.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : FEOL enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : BEOL enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : OFFGRID enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : PIN enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : FORBIDDEN enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : RECOMMENDED enabled: true
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : PreCheck DRC enabled: false
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : CONNECTIVITY_RULES enabled: true.
2026-07-09 23:17:09 +0200: Memory Usage (454164K) : Read in polygons from layers.
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_drw has 68 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_pin has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_mask has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_filler has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_nofill has 0 polygons
2026-07-09 23:17:09 +0200: Memory Usage (455376K) : activ_opc has 0 polygons
