# Logfile created on 2026-07-27 09:55:10 +0200 by logger.rb/v1.5.3
2026-07-27 09:55:10 +0200: Memory Usage (437436K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/PFD/PFD_cell.gds
2026-07-27 09:55:10 +0200: Memory Usage (437436K) : Ruby Version for klayout: 3.2.3
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : Loading database to memory is complete.
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/PFD/drc_run_PFD_cell/PFD_cell_PFD_cell_main.lyrdb
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : Evaluate switches.
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : tables selected: main
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : KLayout will use 1 thread(s) in tiling mode.
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : deep mode is enabled.
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : FEOL enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : BEOL enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : OFFGRID enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : PIN enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : FORBIDDEN enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : RECOMMENDED enabled: true
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : PreCheck DRC enabled: false
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : CONNECTIVITY_RULES enabled: true.
2026-07-27 09:55:10 +0200: Memory Usage (438460K) : Read in polygons from layers.
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_drw has 285 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_pin has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_mask has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_filler has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_nofill has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_iopc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : activ_noqrc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : biwind_drw has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : biwind_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439484K) : pemwind_drw has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_drw has 225 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_pin has 9 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_filler has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_nofill has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_iopc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439612K) : gatpoly_noqrc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : cont_drw has 845 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : cont_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : nsd_drw has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : nsd_block has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : metal1_drw has 614 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439740K) : metal1_pin has 199 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439996K) : metal1_mask has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439996K) : metal1_filler has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439996K) : metal1_nofill has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (439996K) : metal1_slit has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440252K) : metal1_text has 2 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440380K) : metal1_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440380K) : metal1_noqrc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440508K) : metal1_res has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440508K) : metal1_iprobe has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440508K) : metal1_diffprb has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440636K) : passiv_drw has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440636K) : passiv_pin has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440764K) : passiv_sbump has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440764K) : passiv_pillar has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440892K) : passiv_pdl has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440892K) : metal2_drw has 410 polygons
2026-07-27 09:55:10 +0200: Memory Usage (440892K) : metal2_pin has 4 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441020K) : metal2_mask has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441020K) : metal2_filler has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441148K) : metal2_nofill has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441276K) : metal2_slit has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441276K) : metal2_text has 6 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441404K) : metal2_opc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441404K) : metal2_noqrc has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441404K) : metal2_res has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441532K) : metal2_iprobe has 0 polygons
2026-07-27 09:55:10 +0200: Memory Usage (441532K) : metal2_diffprb has 0 polygons
