# Logfile created on 2026-09-23 22:58:15 +0200 by logger.rb/v1.5.3
2026-09-23 22:58:15 +0200: Memory Usage (454444K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/divider/div_with_reset.gds
2026-09-23 22:58:15 +0200: Memory Usage (454444K) : Ruby Version for klayout: 3.2.3
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : Loading database to memory is complete.
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/divider/drc_run_div_with_reset/div_with_reset_div_with_reset_main.lyrdb
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : Evaluate switches.
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : tables selected: main
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : deep mode is enabled.
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : FEOL enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : BEOL enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : OFFGRID enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : ANGLE enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : PIN enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : FORBIDDEN enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : RECOMMENDED enabled: true
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : PreCheck DRC enabled: false
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : CONNECTIVITY_RULES enabled: true.
2026-09-23 22:58:15 +0200: Memory Usage (455340K) : Read in polygons from layers.
2026-09-23 22:58:15 +0200: Memory Usage (456492K) : activ_drw has 483 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456620K) : activ_pin has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456748K) : activ_mask has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456748K) : activ_filler has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456876K) : activ_nofill has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456876K) : activ_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (456876K) : activ_iopc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457004K) : activ_noqrc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457004K) : biwind_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457132K) : biwind_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457132K) : pemwind_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457260K) : gatpoly_drw has 732 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457260K) : gatpoly_pin has 36 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457260K) : gatpoly_filler has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : gatpoly_nofill has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : gatpoly_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : gatpoly_iopc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : gatpoly_noqrc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : cont_drw has 2736 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : cont_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : nsd_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457388K) : nsd_block has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457644K) : metal1_drw has 1548 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457644K) : metal1_pin has 399 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457644K) : metal1_mask has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457644K) : metal1_filler has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457644K) : metal1_nofill has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (457772K) : metal1_slit has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458028K) : metal1_text has 90 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458156K) : metal1_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458156K) : metal1_noqrc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458284K) : metal1_res has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458284K) : metal1_iprobe has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458284K) : metal1_diffprb has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458412K) : passiv_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458412K) : passiv_pin has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458540K) : passiv_sbump has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458540K) : passiv_pillar has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458668K) : passiv_pdl has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458668K) : metal2_drw has 1088 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458796K) : metal2_pin has 156 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458924K) : metal2_mask has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458924K) : metal2_filler has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (458924K) : metal2_nofill has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459052K) : metal2_slit has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459052K) : metal2_text has 156 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459180K) : metal2_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459180K) : metal2_noqrc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459308K) : metal2_res has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459308K) : metal2_iprobe has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459436K) : metal2_diffprb has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459436K) : baspoly_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459436K) : baspoly_pin has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459564K) : psd_drw has 93 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459564K) : nldb_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459692K) : digibnd_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459692K) : via1_drw has 384 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459820K) : backmetal1_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459820K) : backmetal1_pin has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459820K) : backmetal1_mask has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459948K) : backmetal1_filler has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (459948K) : backmetal1_nofill has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460076K) : backmetal1_slit has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460076K) : backmetal1_text has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460204K) : backmetal1_opc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460204K) : backmetal1_noqrc has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460332K) : backmetal1_res has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460460K) : backmetal1_iprobe has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460460K) : backmetal1_diffprb has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460588K) : backpassiv_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460588K) : res_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460716K) : sram_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460716K) : trans_drw has 0 polygons
2026-09-23 22:58:15 +0200: Memory Usage (460716K) : ind_drw has 0 polygons
