# Logfile created on 2026-09-26 17:30:28 +0200 by logger.rb/v1.5.3
2026-09-26 17:30:28 +0200: Memory Usage (454012K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/divider/pdiv.gds
2026-09-26 17:30:28 +0200: Memory Usage (454012K) : Ruby Version for klayout: 3.2.3
2026-09-26 17:30:28 +0200: Memory Usage (455164K) : Loading database to memory is complete.
2026-09-26 17:30:28 +0200: Memory Usage (455164K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/divider/drc_run_pdiv/pdiv_pdiv_main.lyrdb
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : Evaluate switches.
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : tables selected: main
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : deep mode is enabled.
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : FEOL enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : BEOL enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : OFFGRID enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : ANGLE enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : PIN enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : FORBIDDEN enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : RECOMMENDED enabled: true
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : PreCheck DRC enabled: false
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : CONNECTIVITY_RULES enabled: true.
2026-09-26 17:30:28 +0200: Memory Usage (455292K) : Read in polygons from layers.
2026-09-26 17:30:28 +0200: Memory Usage (456572K) : activ_drw has 870 polygons
2026-09-26 17:30:28 +0200: Memory Usage (456828K) : activ_pin has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (456828K) : activ_mask has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (456956K) : activ_filler has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (456956K) : activ_nofill has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457084K) : activ_opc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457084K) : activ_iopc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457084K) : activ_noqrc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : biwind_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : biwind_opc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : pemwind_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : gatpoly_drw has 1201 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : gatpoly_pin has 79 polygons
2026-09-26 17:30:28 +0200: Memory Usage (457212K) : gatpoly_filler has 0 polygons
