# Logfile created on 2026-04-08 19:06:46 +0200 by logger.rb/v1.5.3
2026-04-08 19:06:46 +0200: Memory Usage (436244K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/CHIP-PLL/layout/std_cells/basic_cells.oas
2026-04-08 19:06:46 +0200: Memory Usage (436244K) : Ruby Version for klayout: 3.2.3
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : Loading database to memory is complete.
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/CHIP-PLL/layout/netlists/divider_wip/simulations/drc_run_inverter_x2/basic_cells_inverter_x2_main.lyrdb
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : Evaluate switches.
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : tables selected: main
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : flat mode is enabled.
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : FEOL enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : BEOL enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : OFFGRID enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : PIN enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : FORBIDDEN enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : RECOMMENDED enabled: true
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : PreCheck DRC enabled: false
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : CONNECTIVITY_RULES enabled: true.
2026-04-08 19:06:46 +0200: Memory Usage (437524K) : Read in polygons from layers.
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_drw has 4 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_iopc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : activ_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : biwind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : biwind_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : pemwind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : gatpoly_drw has 5 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : gatpoly_pin has 1 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438548K) : gatpoly_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438804K) : gatpoly_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438804K) : gatpoly_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (438804K) : gatpoly_iopc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439060K) : gatpoly_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439060K) : cont_drw has 40 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439060K) : cont_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439316K) : nsd_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439316K) : nsd_block has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439572K) : metal1_drw has 5 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439572K) : metal1_pin has 7 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439828K) : metal1_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439828K) : metal1_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (439828K) : metal1_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440084K) : metal1_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440340K) : metal1_text has 3 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440596K) : metal1_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440596K) : metal1_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440596K) : metal1_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440852K) : metal1_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (440852K) : metal1_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (441108K) : passiv_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (441108K) : passiv_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (441108K) : passiv_sbump has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (441364K) : passiv_pillar has 0 polygons
