dly pw_up pw_down
0u 5.504003e-08 5.512406e-08
1.008064u 5.972246e-07 6.004279e-01
2.016129u 1.516125e-06 5.642212e-01
3.024193u 5.822939e-07 5.278941e-01
4.032258u 8.577341e-06 4.912365e-01
5.040322u 2.307437e-06 4.552264e-01
6.048387u 5.591042e-07 4.190199e-01
7.056451u 6.049489e-07 3.727489e-01
8.064516u 6.114460e-06 3.239054e-01
9.072580u 5.853568e-07 2.759489e-01
10.080645u 5.754588e-07 2.275368e-01
11.088709u 9.388021e-07 1.791658e-01
12.096774u 5.564891e-07 1.307677e-01
13.104838u 4.929122e-07 9.006634e-02
14.112903u 4.854139e-07 5.376117e-02
15.120967u 4.784645e-07 1.747348e-02
16.129032u 1.701229e-02 8.629229e-07
17.137096u 5.272318e-02 1.726539e-06
18.145161u 8.899966e-02 2.563523e-06
19.153225u 1.253246e-01 3.399580e-06
20.161290u 1.616043e-01 4.231715e-06
21.169354u 1.978825e-01 5.065626e-06
22.177419u 2.342309e-01 5.894820e-06
23.185483u 2.705256e-01 6.729408e-06
24.193548u 3.067943e-01 7.559977e-06
25.201612u 3.430893e-01 8.386859e-06
26.209677u 3.794192e-01 9.220829e-06
27.217741u 4.157123e-01 1.005315e-05
28.225806u 4.519386e-01 1.088635e-05
29.233870u 4.893355e-01 5.974511e-07
30.241935u 5.246052e-01 1.252042e-05
31.250000u 5.509258e-08 5.528299e-08
