dly pw_up pw_down
0u 6.77405e-01 5.21430e-01
1.008064u 8.56187e-01 1.25983e-04
2.016129u 5.61615e-01 2.72308e-04
3.024193u 4.72090e-01 2.33693e-04
4.032258u 4.34285e-01 2.05257e-04
5.040322u 4.31493e-01 2.27260e-04
6.048387u 3.58865e-01 2.20114e-04
7.056451u 0.00000e+00 0.00000e+00
8.064516u 2.83598e-01 3.05300e-04
9.072580u 2.45736e-01 2.55241e-04
10.080645u 3.22187e-01 3.56113e-04
11.088709u 1.70042e-01 2.44739e-04
12.096774u 1.32406e-01 2.82910e-04
13.104838u 1.04117e-01 2.08983e-04
14.112903u 5.69393e-02 2.80924e-04
15.120967u 2.86602e-02 7.17236e-05
16.129032u 3.17141e-04 1.95156e-02
17.137096u 2.11843e-04 6.85265e-02
18.145161u 2.17313e-04 1.02503e-01
19.153225u 2.14098e-04 1.42192e-01
20.161290u 2.34139e-04 1.70214e-01
21.169354u 0.00000e+00 0.00000e+00
22.177419u 2.56508e-04 2.45745e-01
23.185483u 3.05630e-04 2.83603e-01
24.193548u 2.02736e-04 3.20962e-01
25.201612u 2.52949e-04 3.71523e-01
26.209677u 3.09081e-04 3.96570e-01
27.217741u 3.55086e-04 4.39705e-01
28.225806u 2.34795e-04 4.99227e-01
29.233870u 3.40979e-04 5.28437e-01
30.241935u 3.16277e-04 5.72369e-01
31.250000u 5.84182e-01 6.14616e-01
