dly pw_up pw_down
0u 7.11132e-05 6.77028e-01
1.008064u 6.59514e-05 6.01460e-01
2.016129u 6.60771e-05 5.60001e-01
3.024193u 6.60728e-05 5.18537e-01
4.032258u 6.56047e-05 4.77070e-01
5.040322u 6.56308e-05 4.35600e-01
6.048387u 6.59829e-05 3.94127e-01
7.056451u 6.58083e-05 3.52650e-01
8.064516u 6.90325e-05 3.11174e-01
9.072580u 6.55283e-05 2.69544e-01
10.080645u 6.58190e-05 2.28079e-01
11.088709u 6.59277e-05 1.86599e-01
12.096774u 6.60079e-05 1.45123e-01
13.104838u 6.59555e-05 1.03650e-01
14.112903u 6.59953e-05 6.21691e-02
15.120967u 6.49091e-05 2.06924e-02
16.129032u 2.10038e-02 6.79690e-05
17.137096u 6.25040e-02 7.17532e-05
18.145161u 1.03967e-01 5.89254e-05
19.153225u 1.45449e-01 5.78682e-05
20.161290u 1.86937e-01 5.72412e-05
21.169354u 2.28448e-01 6.80069e-05
22.177419u 2.69871e-01 6.97045e-05
23.185483u 3.11357e-01 6.70224e-05
24.193548u 3.52941e-01 6.68073e-05
25.201612u 3.94439e-01 6.80712e-05
26.209677u 4.35757e-01 5.94928e-05
27.217741u 4.83622e-01 6.94938e-05
28.225806u 5.32031e-01 7.06341e-05
29.233870u 5.80444e-01 7.22660e-05
30.241935u 6.28835e-01 6.66898e-05
31.250000u 7.11355e-05 6.77028e-01
