dly pw_up pw_down
0u 0.00000e+00 0.00000e+00
.496031u 5.02980e-01 2.18810e-04
.992063u 4.86606e-01 2.38757e-04
1.488095u 4.70052e-01 2.41726e-04
1.984126u 4.53512e-01 1.90414e-04
2.480158u 4.37113e-01 2.30680e-04
2.976190u 4.20578e-01 2.35328e-04
3.472222u 4.04105e-01 2.29534e-04
3.968253u 3.87602e-01 2.11511e-04
4.464285u 3.71070e-01 1.77941e-04
4.960317u 0.00000e+00 0.00000e+00
5.456349u 5.31854e-01 5.82932e-05
5.952380u 3.21685e-01 2.24263e-04
6.448412u 3.05175e-01 2.18251e-04
6.944444u 2.88704e-01 2.14072e-04
7.440476u 0.00000e+00 0.00000e+00
7.936507u 2.55725e-01 2.24620e-04
8.432539u 2.39266e-01 2.28312e-04
8.928571u 2.22790e-01 2.56589e-04
9.424603u 2.06299e-01 2.24002e-04
9.920634u 1.89756e-01 1.92486e-04
10.416666u 1.73361e-01 2.54633e-04
10.912698u 1.56819e-01 2.22377e-04
11.408730u 1.40557e-01 3.94966e-04
11.904761u 1.23796e-01 1.80485e-04
12.400793u 1.07324e-01 1.82289e-04
12.896825u 9.10182e-02 3.14917e-04
13.392857u 7.44242e-02 2.26303e-04
13.888888u 5.79887e-02 2.72939e-04
14.384920u 4.15340e-02 2.75025e-04
14.880952u 2.49426e-02 2.12818e-04
15.376984u 8.50250e-03 2.47330e-04
15.873015u 2.72170e-04 8.71621e-03
16.369047u 4.86919e-04 2.54607e-02
16.865079u 3.46535e-04 4.17997e-02
17.361111u 4.24174e-04 5.83493e-02
17.857142u 3.13491e-04 7.47165e-02
18.353174u 3.35557e-04 9.12769e-02
18.849206u 2.90255e-04 1.07670e-01
19.345238u 3.25910e-04 1.24154e-01
19.841269u 3.35410e-04 1.40689e-01
20.337301u 4.35763e-04 1.57238e-01
20.833333u 4.20394e-04 1.73757e-01
21.329365u 4.02466e-04 1.90241e-01
21.825396u 3.14822e-04 2.06592e-01
22.321428u 3.61891e-04 2.23146e-01
22.817460u 3.38092e-04 2.39596e-01
23.313492u 7.68709e-05 2.93329e-01
23.809523u 2.79931e-04 2.72483e-01
24.305555u 2.57416e-04 2.88958e-01
24.801587u 2.95474e-04 3.05459e-01
25.297619u 3.29214e-04 3.22017e-01
25.793650u 2.85001e-04 3.38420e-01
26.289682u 4.40559e-04 3.55563e-01
26.785714u 3.12481e-04 3.76028e-01
27.281746u 3.40111e-04 3.96667e-01
27.777777u 4.79057e-04 4.17394e-01
28.273809u 3.70384e-04 4.37910e-01
28.769841u 3.20185e-04 4.58463e-01
29.265873u 3.84109e-04 4.79153e-01
29.761904u 3.30966e-04 4.99669e-01
30.257936u 3.34727e-04 5.20291e-01
30.753968u 3.95275e-04 5.40949e-01
31.250000u 0.00000e+00 0.00000e+00
