dly pw_up pw_down
0u 2.26637e-03 1.31697e+00
.496031u 6.15853e-01 1.23522e-03
.992063u 5.95676e-01 1.24415e-03
1.488095u 5.75607e-01 1.16528e-03
1.984126u 5.55413e-01 1.27177e-03
2.480158u 5.35445e-01 1.35179e-03
2.976190u 5.14835e-01 9.79993e-04
3.472222u 4.95079e-01 1.34252e-03
3.968253u 4.74836e-01 1.25794e-03
4.464285u 4.54854e-01 1.43443e-03
4.960317u 4.34291e-01 1.04797e-03
5.456349u 4.14350e-01 1.20762e-03
5.952380u 3.94299e-01 1.29660e-03
6.448412u 3.74126e-01 1.24017e-03
6.944444u 3.53511e-01 8.34734e-04
7.440476u 3.33278e-01 7.88480e-04
7.936507u 3.13937e-01 1.43372e-03
8.432539u 2.93138e-01 9.39149e-04
8.928571u 2.73316e-01 1.23069e-03
9.424603u 2.52980e-01 1.02926e-03
9.920634u 2.33398e-01 1.48958e-03
10.416666u 0.00000e+00 0.00000e+00
10.912698u 1.92836e-01 1.29997e-03
11.408730u 1.72447e-01 1.08534e-03
11.904761u 0.00000e+00 0.00000e+00
12.400793u 1.32023e-01 9.65403e-04
12.896825u 1.12523e-01 1.52903e-03
13.392857u 9.20035e-02 1.22673e-03
13.888888u 7.15846e-02 9.97287e-04
14.384920u 5.16169e-02 1.10056e-03
14.880952u 3.14611e-02 1.09891e-03
15.376984u 1.15142e-02 1.35881e-03
15.873015u 1.05019e-03 1.14263e-02
16.369047u 1.07333e-03 3.16040e-02
16.865079u 1.18229e-03 5.18573e-02
17.361111u 1.00325e-03 7.17902e-02
17.857142u 1.20772e-03 9.21303e-02
18.353174u 1.09723e-03 1.12211e-01
18.849206u 1.16271e-03 1.32392e-01
19.345238u 9.83810e-04 1.52373e-01
19.841269u 9.46207e-04 1.72521e-01
20.337301u 1.42184e-03 1.93086e-01
20.833333u 1.05861e-03 2.12895e-01
21.329365u 1.02573e-03 2.33028e-01
21.825396u 9.07451e-04 2.53063e-01
22.321428u 1.30126e-03 2.73553e-01
22.817460u 0.00000e+00 0.00000e+00
23.313492u 9.29583e-04 3.33742e-01
23.809523u 1.09105e-03 3.33828e-01
24.305555u 1.17312e-03 3.54007e-01
24.801587u 1.01357e-03 3.73989e-01
25.297619u 1.10829e-03 3.94298e-01
25.793650u 1.07044e-03 4.14371e-01
26.289682u 1.30983e-03 4.35363e-01
26.785714u 1.11696e-03 4.60331e-01
27.281746u 1.21948e-03 4.85639e-01
27.777777u 1.61335e-03 5.11128e-01
28.273809u 1.24253e-03 5.36003e-01
28.769841u 1.45011e-03 5.61382e-01
29.265873u 1.45902e-03 5.86607e-01
29.761904u 1.37261e-03 6.11677e-01
30.257936u 1.28533e-03 6.36793e-01
30.753968u 1.48697e-03 6.62196e-01
31.250000u 6.33755e-01 6.85178e-01
