dly pw_up pw_down
0u 5.84394e-01 6.14496e-01
1.008064u 6.33805e-01 3.22866e-04
2.016129u 8.29148e-01 4.32511e-04
3.024193u 4.72327e-01 3.64992e-04
4.032258u 4.34596e-01 3.46079e-04
5.040322u 4.90427e-01 1.81459e-04
6.048387u 3.95382e-01 3.24449e-04
7.056451u 5.00356e-01 1.68218e-04
8.064516u 3.64203e-01 2.96048e-04
9.072580u 2.45906e-01 3.02522e-04
10.080645u 2.08374e-01 3.76870e-04
11.088709u 2.10626e-01 1.97186e-04
12.096774u 2.38386e-01 3.71081e-04
13.104838u 0.00000e+00 0.00000e+00
14.112903u 5.71219e-02 2.74982e-04
15.120967u 1.96163e-02 3.56695e-04
16.129032u 4.82883e-04 2.00800e-02
17.137096u 3.86139e-04 6.54690e-02
18.145161u 3.39319e-04 9.52698e-02
19.153225u 1.79671e-04 1.53514e-01
20.161290u 3.38137e-04 1.70803e-01
21.169354u 2.24745e-04 2.22524e-01
22.177419u 2.98526e-04 2.46249e-01
23.185483u 3.19974e-04 2.83874e-01
24.193548u 3.46824e-04 3.21577e-01
25.201612u 3.19623e-04 3.59458e-01
26.209677u 3.33733e-04 3.96932e-01
27.217741u 5.69165e-04 4.66509e-01
28.225806u 2.29712e-04 4.95033e-01
29.233870u 3.72474e-04 6.37797e-01
30.241935u 4.05837e-04 6.32535e-01
31.250000u 5.83937e-01 6.14979e-01
