dly pw_up pw_down
0u 7.91143e-01 5.26449e-01
.496031u 6.15216e-01 6.39105e-04
.992063u 5.95095e-01 7.38593e-04
1.488095u 5.74889e-01 6.56639e-04
1.984126u 5.54771e-01 6.12964e-04
2.480158u 5.34516e-01 5.50458e-04
2.976190u 5.14569e-01 7.71855e-04
3.472222u 4.94206e-01 6.04896e-04
3.968253u 0.00000e+00 0.00000e+00
4.464285u 4.54069e-01 6.62575e-04
4.960317u 0.00000e+00 0.00000e+00
5.456349u 4.13670e-01 6.09345e-04
5.952380u 4.61239e-01 5.41638e-04
6.448412u 3.73287e-01 5.21125e-04
6.944444u 3.53317e-01 6.73350e-04
7.440476u 3.33273e-01 7.59178e-04
7.936507u 3.12959e-01 5.84261e-04
8.432539u 2.93085e-01 8.61404e-04
8.928571u 2.72726e-01 7.01967e-04
9.424603u 0.00000e+00 0.00000e+00
9.920634u 3.64725e-01 1.06632e-03
10.416666u 2.12261e-01 6.61846e-04
10.912698u 1.92263e-01 7.40165e-04
11.408730u 1.71872e-01 6.00441e-04
11.904761u 1.52048e-01 7.79574e-04
12.400793u 1.31782e-01 7.47298e-04
12.896825u 1.11607e-01 7.48526e-04
13.392857u 9.14117e-02 6.59120e-04
13.888888u 7.15301e-02 8.31990e-04
14.384920u 5.12850e-02 8.36230e-04
14.880952u 3.08780e-02 6.42164e-04
15.376984u 1.08685e-02 7.40375e-04
15.873015u 6.47645e-04 1.10597e-02
16.369047u 6.80965e-04 3.12574e-02
16.865079u 7.65831e-04 5.14760e-02
17.361111u 8.84577e-04 7.16872e-02
17.857142u 6.50825e-04 9.16588e-02
18.353174u 7.50364e-04 1.11868e-01
18.849206u 8.15186e-04 1.32096e-01
19.345238u 7.70066e-04 1.52195e-01
19.841269u 6.72526e-04 1.72269e-01
20.337301u 7.25077e-04 1.92468e-01
20.833333u 6.26943e-04 2.12479e-01
21.329365u 7.83879e-04 2.32751e-01
21.825396u 9.36221e-04 2.53043e-01
22.321428u 6.88691e-04 2.73001e-01
22.817460u 6.37848e-04 2.93114e-01
23.313492u 6.91060e-04 3.13309e-01
23.809523u 7.40141e-04 3.33507e-01
24.305555u 7.18395e-04 3.53653e-01
24.801587u 7.16733e-04 3.73773e-01
25.297619u 8.43026e-04 3.94048e-01
25.793650u 5.19203e-04 4.36032e-01
26.289682u 9.00671e-04 4.34981e-01
26.785714u 8.61164e-04 4.60166e-01
27.281746u 1.00573e-03 4.85478e-01
27.777777u 9.40026e-04 5.10624e-01
28.273809u 9.00308e-04 5.35780e-01
28.769841u 9.23713e-04 5.60998e-01
29.265873u 8.70053e-04 5.86066e-01
29.761904u 4.88190e-03 1.31049e+00
30.257936u 3.56330e-03 1.30892e+00
30.753968u 1.03591e-03 6.61889e-01
31.250000u 1.60079e-01 1.15767e+00
