dly pw_up pw_down
0u 4.872650e-09 5.039377e-09
1.008064u 7.407234e-07 5.397792e-01
2.016129u 7.252350e-07 5.070604e-01
3.024193u 7.014708e-07 4.744976e-01
4.032258u 6.786413e-07 4.417843e-01
5.040322u 6.581288e-07 4.090655e-01
6.048387u 6.361157e-07 3.765140e-01
7.056451u 6.800641e-07 3.344420e-01
8.064516u 4.534084e-08 6.261965e-08
9.072580u 6.202192e-07 2.473385e-01
10.080645u 5.910589e-07 2.037858e-01
11.088709u 4.814403e-07 1.603740e-01
12.096774u 5.333563e-07 1.166765e-01
13.104838u 4.358792e-07 8.042080e-02
14.112903u 3.829649e-07 4.788677e-02
15.120967u 3.886544e-07 1.513414e-02
16.129032u 1.508208e-02 3.949526e-07
17.137096u 4.780075e-02 4.236443e-07
18.145161u 8.040341e-02 4.509148e-07
19.153225u 1.130652e-01 4.784211e-07
20.161290u 1.458105e-01 5.070874e-07
21.169354u 1.780633e-01 6.351604e-07
22.177419u 2.110694e-01 5.569440e-07
23.185483u 2.437278e-01 5.844552e-07
24.193548u 2.765479e-01 3.985196e-07
25.201612u 3.090641e-01 6.403189e-07
26.209677u 3.417289e-01 6.700925e-07
27.217741u 3.708452e-01 1.033328e-06
28.225806u 4.070768e-01 7.318140e-07
29.233870u 4.397258e-01 7.606512e-07
30.241935u 4.725149e-01 5.044770e-07
31.250000u 4.872650e-09 5.039377e-09
