dly pw_up pw_down
0u 5.17815e-01 5.84150e-01
1.008064u 9.34168e-05 5.46904e-01
2.016129u 9.26859e-05 5.09207e-01
3.024193u 9.49290e-05 4.71507e-01
4.032258u 9.31311e-05 4.33803e-01
5.040322u 9.76582e-05 3.95899e-01
6.048387u 9.88480e-05 3.58211e-01
7.056451u 9.55558e-05 3.20511e-01
8.064516u 9.28643e-05 2.82810e-01
9.072580u 8.29889e-05 2.74946e-01
10.080645u 9.71784e-05 2.07413e-01
11.088709u 9.34886e-05 1.69653e-01
12.096774u 9.37458e-05 1.32016e-01
13.104838u 9.59409e-05 9.42739e-02
14.112903u 9.78576e-05 5.65510e-02
15.120967u 9.43976e-05 1.88436e-02
16.129032u 1.92134e-02 1.00858e-04
17.137096u 5.69380e-02 9.82978e-05
18.145161u 9.45983e-02 9.08451e-05
19.153225u 1.32334e-01 1.01228e-04
20.161290u 1.70097e-01 9.50534e-05
21.169354u 2.07785e-01 9.23449e-05
22.177419u 2.45494e-01 9.29894e-05
23.185483u 2.83262e-01 1.00707e-04
24.193548u 3.20981e-01 1.01084e-04
25.201612u 3.58694e-01 9.09128e-05
26.209677u 3.96234e-01 9.63190e-05
27.217741u 4.40033e-01 1.08675e-04
28.225806u 4.84000e-01 1.05501e-04
29.233870u 5.27945e-01 1.08012e-04
30.241935u 5.71952e-01 1.16717e-04
31.250000u 5.18062e-01 4.86747e-01
