dly pw_up pw_down
0u 5.76079e-01 6.22167e-01
.496031u 6.55915e-01 9.25264e-04
.992063u 5.41577e-01 1.16861e-03
1.488095u 5.23258e-01 1.09795e-03
1.984126u 5.05434e-01 1.51651e-03
2.480158u 4.86888e-01 1.36975e-03
2.976190u 4.68354e-01 1.16015e-03
3.472222u 4.50104e-01 1.27846e-03
3.968253u 4.31861e-01 1.24451e-03
4.464285u 4.13348e-01 1.12900e-03
4.960317u 3.95268e-01 1.30752e-03
5.456349u 3.76919e-01 1.28379e-03
5.952380u 3.58413e-01 1.09829e-03
6.448412u 3.40245e-01 1.24691e-03
6.944444u 3.21921e-01 1.25226e-03
7.440476u 3.03767e-01 1.40441e-03
7.936507u 2.85532e-01 1.45826e-03
8.432539u 2.67080e-01 1.39470e-03
8.928571u 2.49034e-01 1.56376e-03
9.424603u 2.30534e-01 1.39822e-03
9.920634u 2.12024e-01 1.17961e-03
10.416666u 1.93745e-01 1.24320e-03
10.912698u 1.75320e-01 1.15859e-03
11.408730u 1.57157e-01 1.33150e-03
11.904761u 1.73164e-01 1.07046e-03
12.400793u 1.20421e-01 1.17723e-03
12.896825u 1.01934e-01 1.05575e-03
13.392857u 8.41070e-02 1.52356e-03
13.888888u 6.59262e-02 1.66887e-03
14.384920u 4.71706e-02 1.24825e-03
14.880952u 2.88771e-02 1.16547e-03
15.376984u 1.07001e-02 1.36586e-03
15.873015u 1.41023e-03 1.08389e-02
16.369047u 1.20779e-03 2.90261e-02
16.865079u 1.16120e-03 4.72687e-02
17.361111u 1.08373e-03 6.55082e-02
17.857142u 1.07745e-03 8.38114e-02
18.353174u 1.50458e-03 1.02524e-01
18.849206u 1.21391e-03 1.20583e-01
19.345238u 1.15969e-03 1.38834e-01
19.841269u 1.22733e-03 1.57246e-01
20.337301u 1.39889e-03 1.75722e-01
20.833333u 1.26578e-03 1.93931e-01
21.329365u 1.39886e-03 2.12360e-01
21.825396u 1.35796e-03 2.30623e-01
22.321428u 1.38247e-03 2.48949e-01
22.817460u 1.35431e-03 2.67219e-01
23.313492u 1.10903e-03 2.85357e-01
23.809523u 1.39369e-03 3.03875e-01
24.305555u 1.38754e-03 3.22250e-01
24.801587u 9.83791e-04 3.61857e-01
25.297619u 1.13604e-03 3.58591e-01
25.793650u 1.01623e-03 3.76838e-01
26.289682u 1.52027e-03 4.11704e-01
26.785714u 1.52488e-03 4.19004e-01
27.281746u 1.36077e-03 4.41784e-01
27.777777u 1.41164e-03 4.64747e-01
28.273809u 1.39377e-03 4.87577e-01
28.769841u 0.00000e+00 0.00000e+00
29.265873u 1.47391e-03 5.33493e-01
29.761904u 1.48126e-03 5.56390e-01
30.257936u 1.58416e-03 5.79346e-01
30.753968u 1.33656e-03 6.01985e-01
31.250000u 5.76185e-01 6.22599e-01
