dly pw_up pw_down
0u 5.063713e-08 4.619466e-08
.496031u 4.906851e-08 5.820247e-01
.992063u 4.840898e-08 5.641902e-01
1.488095u 4.906191e-08 5.462715e-01
1.984126u 4.898437e-08 5.284099e-01
2.480158u 4.920814e-08 5.105717e-01
2.976190u 4.890030e-08 4.927250e-01
3.472222u 4.886596e-08 4.748768e-01
3.968253u 4.887343e-08 4.570251e-01
4.464285u 4.887805e-08 4.391184e-01
4.960317u 4.890849e-08 4.212682e-01
5.456349u 4.889287e-08 4.034213e-01
5.952380u 4.897727e-08 3.855740e-01
6.448412u 4.765304e-08 3.669424e-01
6.944444u 4.768359e-08 3.471000e-01
7.440476u 4.753073e-08 3.272692e-01
7.936507u 4.759287e-08 3.074063e-01
8.432539u 4.766894e-08 2.875709e-01
8.928571u 4.758244e-08 2.677296e-01
9.424603u 4.492857e-08 2.478822e-01
9.920634u 4.486914e-08 2.280449e-01
10.416666u 4.484175e-08 2.082036e-01
10.912698u 4.484924e-08 1.883613e-01
11.408730u 4.483865e-08 1.685190e-01
11.904761u 4.465175e-08 1.486667e-01
12.400793u 4.484073e-08 1.288294e-01
12.896825u 4.486686e-08 1.089871e-01
13.392857u 4.491758e-08 8.915084e-02
13.888888u 4.484484e-08 6.930761e-02
14.384920u 4.483176e-08 4.946535e-02
14.880952u 4.483501e-08 2.962210e-02
15.376984u 4.481752e-08 9.778862e-03
15.873015u 9.780762e-03 4.486249e-08
16.369047u 2.962248e-02 4.487684e-08
16.865079u 4.946368e-02 4.486842e-08
17.361111u 6.930436e-02 4.483638e-08
17.857142u 8.915192e-02 4.486670e-08
18.353174u 1.089892e-01 4.483666e-08
18.849206u 1.288340e-01 4.483409e-08
19.345238u 1.486743e-01 4.465347e-08
19.841269u 1.685140e-01 4.486965e-08
20.337301u 1.883437e-01 4.487799e-08
20.833333u 2.082093e-01 4.481635e-08
21.329365u 2.280492e-01 4.482482e-08
21.825396u 2.478885e-01 4.487901e-08
22.321428u 2.677276e-01 4.460636e-08
22.817460u 2.875696e-01 4.472575e-08
23.313492u 3.073997e-01 4.460982e-08
23.809523u 3.272254e-01 4.191198e-08
24.305555u 3.470958e-01 4.471486e-08
24.801587u 3.669379e-01 4.467906e-08
25.297619u 3.855694e-01 4.562260e-08
25.793650u 4.034273e-01 4.555039e-08
26.289682u 4.212812e-01 4.560892e-08
26.785714u 4.391390e-01 4.556414e-08
27.281746u 4.569969e-01 4.566714e-08
27.777777u 4.748587e-01 4.555492e-08
28.273809u 4.927166e-01 4.568989e-08
28.769841u 5.105726e-01 4.581804e-08
29.265873u 5.284123e-01 4.560997e-08
29.761904u 5.462801e-01 4.551051e-08
30.257936u 5.641479e-01 4.575516e-08
30.753968u 5.820058e-01 4.576266e-08
31.250000u 5.063713e-08 4.619466e-08
