dly pw_up pw_down
0u 9.999995e-01 9.999995e-01
.496031u 9.999995e-01 9.999995e-01
.992063u 9.999995e-01 9.999995e-01
1.488095u 9.999995e-01 9.999995e-01
1.984126u 9.999995e-01 9.999995e-01
2.480158u 9.999995e-01 9.999995e-01
2.976190u 9.999995e-01 9.999995e-01
3.472222u 9.999995e-01 9.999995e-01
3.968253u 9.999995e-01 9.999995e-01
4.464285u 9.999995e-01 9.999995e-01
4.960317u 9.999995e-01 9.999995e-01
5.456349u 9.999995e-01 9.999995e-01
5.952380u 9.999995e-01 9.999995e-01
6.448412u 9.999995e-01 9.999995e-01
6.944444u 9.999995e-01 9.999995e-01
7.440476u 9.999995e-01 9.999995e-01
7.936507u 9.999995e-01 9.999995e-01
8.432539u 9.999995e-01 9.999995e-01
8.928571u 9.999995e-01 9.999995e-01
9.424603u 9.999995e-01 9.999995e-01
9.920634u 9.999995e-01 9.999995e-01
10.416666u 9.999995e-01 9.999995e-01
10.912698u 9.999995e-01 9.999995e-01
11.408730u 9.999995e-01 9.999995e-01
11.904761u 9.999995e-01 9.999995e-01
12.400793u 9.999995e-01 9.999995e-01
12.896825u 9.999995e-01 9.999995e-01
13.392857u 9.999995e-01 9.999995e-01
13.888888u 9.999995e-01 9.999995e-01
14.384920u 9.999995e-01 9.999995e-01
14.880952u 9.999995e-01 9.999995e-01
15.376984u 9.999995e-01 9.999995e-01
15.873015u 9.999995e-01 9.999995e-01
16.369047u 9.999995e-01 9.999995e-01
16.865079u 9.999995e-01 9.999995e-01
17.361111u 9.999995e-01 9.999995e-01
17.857142u 9.999995e-01 9.999995e-01
18.353174u 9.999995e-01 9.999995e-01
18.849206u 9.999995e-01 9.999995e-01
19.345238u 9.999995e-01 9.999995e-01
19.841269u 9.999995e-01 9.999995e-01
20.337301u 9.999995e-01 9.999995e-01
20.833333u 9.999995e-01 9.999995e-01
21.329365u 9.999995e-01 9.999995e-01
21.825396u 9.999995e-01 9.999995e-01
22.321428u 9.999995e-01 9.999995e-01
22.817460u 9.999995e-01 9.999995e-01
23.313492u 9.999995e-01 9.999995e-01
23.809523u 9.999995e-01 9.999995e-01
24.305555u 9.999995e-01 9.999995e-01
24.801587u 9.999995e-01 9.999995e-01
25.297619u 9.999995e-01 9.999995e-01
25.793650u 9.999995e-01 9.999995e-01
26.289682u 9.999995e-01 9.999995e-01
26.785714u 9.999995e-01 9.999995e-01
27.281746u 9.999995e-01 9.999995e-01
27.777777u 9.999995e-01 9.999995e-01
28.273809u 9.999995e-01 9.999995e-01
28.769841u 9.999995e-01 9.999995e-01
29.265873u 9.999995e-01 9.999995e-01
29.761904u 9.999995e-01 9.999995e-01
30.257936u 9.999995e-01 9.999995e-01
30.753968u 9.999995e-01 9.999995e-01
31.250000u 9.999995e-01 9.999995e-01
