time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 1.300167250000000108e+00 1.933231679999999913e-11 7.904451229999999649e-12 6.989343719999999704e-01 1.184918120000000049e-12 2.300382110000000227e-13 -2.468053819999999909e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 1.300161689999999926e+00 -8.258935020000000222e-06 4.106245909999999635e-06 6.983297699999999608e-01 -1.892636070000000076e-06 1.149467400000000073e-03 -8.178238220000000423e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 1.300155960000000110e+00 -1.121176830000000058e-05 5.405239909999999653e-06 6.977581619999999596e-01 -2.970952049999999930e-06 1.182094430000000087e-03 -8.283802890000000179e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 1.300144469999999997e+00 -1.187078879999999994e-05 6.150671950000000355e-06 6.966462340000000308e-01 -3.865967490000000359e-06 1.178667520000000087e-03 -8.160198290000000160e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 1.300121359999999893e+00 -1.049190800000000051e-05 5.743203970000000130e-06 6.944655690000000048e-01 -3.545059419999999916e-06 1.171245439999999988e-03 -8.102287150000000385e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 1.300073440000000025e+00 -9.644499930000000114e-06 6.137868040000000245e-06 6.900589510000000315e-01 -3.783022060000000011e-06 1.177469850000000071e-03 -7.906521440000000532e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 1.299800569999999933e+00 -1.731978930000000117e-05 1.789264939999999921e-05 6.717326740000000296e-01 -1.084170269999999994e-05 2.542912669999999962e-03 -9.164337610000000212e-04 8.159999999999999476e-01 0.000000000000000000e+00
5.779567179999999604e-12 1.298929860000000103e+00 4.613531729999999990e-05 7.321468929999999858e-06 6.426385319999999846e-01 -5.212671510000000286e-06 2.993291360000000217e-03 -9.175248359999999860e-04 5.064519379999999904e-01 0.000000000000000000e+00
9.414082570000000241e-12 1.297520290000000021e+00 -2.646444739999999856e-06 1.007304509999999965e-05 6.138941620000000210e-01 -5.974475390000000020e-06 2.767360799999999798e-03 -7.361737969999999735e-04 7.031009169999999364e-02 0.000000000000000000e+00
9.999999999999999395e-12 1.297277879999999994e+00 3.798813260000000023e-05 6.067556160000000361e-06 6.098253150000000344e-01 -4.653108819999999777e-06 3.065443760000000160e-03 -7.526806969999999628e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.028917060000000021e-11 1.297257139999999920e+00 -7.287524359999999534e-07 -9.025842920000000310e-07 6.104717440000000384e-01 -6.758077729999999828e-08 2.188844849999999867e-04 1.290614600000000083e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.086751170000000018e-11 1.297220610000000107e+00 8.476875439999999739e-07 -3.081920789999999906e-06 6.116622149999999536e-01 2.112869609999999796e-06 8.447653359999999655e-05 1.574557100000000117e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.202419400000000017e-11 1.297147920000000010e+00 1.566884209999999984e-07 -1.122419570000000096e-06 6.137941430000000143e-01 4.319584090000000104e-07 2.154980870000000072e-04 1.237310800000000039e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.433755850000000009e-11 1.297002240000000084e+00 1.141900899999999904e-06 -2.526399139999999915e-06 6.177633740000000317e-01 1.638450550000000047e-06 9.236266470000000536e-05 1.510641339999999955e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.896428750000000155e-11 1.296710379999999940e+00 7.365413850000000508e-07 -7.929051620000000502e-07 6.247128749999999453e-01 2.898555010000000146e-07 2.370779350000000116e-04 1.056686350000000024e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.821774560000000130e-11 1.296126480000000081e+00 2.806039380000000026e-06 -1.273496340000000026e-06 6.334503089999999892e-01 8.547985310000000226e-07 1.679433589999999898e-04 9.118804880000000597e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.672466179999999755e-11 1.295171489999999981e+00 2.238118740000000015e-06 3.936475629999999820e-07 6.406029540000000022e-01 -4.016733459999999842e-07 2.171335140000000023e-04 2.604200320000000046e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.788145799999999524e-11 1.294374689999999939e+00 2.866748809999999830e-06 -1.758207299999999965e-06 6.597338240000000242e-01 1.185161019999999947e-06 -4.379804779999999783e-05 3.561659070000000105e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.160564579999999952e-10 1.294071460000000062e+00 -1.213948430000000063e-06 1.032761199999999950e-06 6.716861379999999881e-01 -7.531667210000000305e-07 9.079667169999999950e-05 -1.650974720000000063e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.650255140000000060e-10 1.293968309999999899e+00 7.363207400000000027e-07 -1.335660970000000061e-06 6.780758249999999654e-01 9.318324199999999907e-07 -8.137653740000000359e-05 2.000985670000000053e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.368154570000000232e-10 1.293920739999999903e+00 -1.350299610000000082e-06 1.175465199999999982e-06 6.826214969999999660e-01 -8.335444150000000125e-07 8.276805740000000005e-05 -2.128531189999999885e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.720683070000000253e-10 1.293884159999999950e+00 1.151067060000000026e-06 -1.254138579999999963e-06 6.869304849999999796e-01 8.802051959999999560e-07 -8.224794170000000249e-05 1.793582869999999979e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.425740070000000293e-10 1.293875110000000106e+00 -9.554465409999999421e-07 1.226616980000000011e-06 6.894164940000000463e-01 -8.630065269999999980e-07 8.237536880000000279e-05 -2.269324480000000141e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.183585410000000071e-09 1.293898989999999971e+00 1.279541470000000073e-06 -1.234280570000000015e-06 6.905349339999999891e-01 8.675463740000000382e-07 -8.237056310000000420e-05 1.748442090000000069e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.183585409999999927e-09 1.293938260000000007e+00 -9.660448450000000920e-07 1.228839820000000020e-06 6.919095690000000021e-01 -8.640270660000000393e-07 8.237067620000000493e-05 -2.268314990000000158e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.183585410000000196e-09 1.293973389999999890e+00 1.263118769999999930e-06 -1.231526419999999895e-06 6.929284190000000176e-01 8.656169739999999732e-07 -8.236644120000000005e-05 1.749428839999999979e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.183585409999999638e-09 1.294005630000000018e+00 -9.774343350000000929e-07 1.229784940000000071e-06 6.935786959999999945e-01 -8.643676069999999521e-07 8.236641610000000006e-05 -2.267920600000000107e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.183585410000000320e-09 1.294036090000000083e+00 1.252842420000000031e-06 -1.230452729999999960e-06 6.942080280000000325e-01 8.647171210000000154e-07 -8.236173030000000484e-05 1.749794849999999997e-05 0.000000000000000000e+00 0.000000000000000000e+00
6.183585410000000176e-09 1.294065449999999950e+00 -9.823091600000000891e-07 1.229838480000000104e-06 6.946368819999999555e-01 -8.641608610000000299e-07 8.236156860000000315e-05 -2.268118939999999860e-05 0.000000000000000000e+00 0.000000000000000000e+00
7.183585410000000031e-09 1.294094059999999935e+00 1.248213810000000088e-06 -1.229886320000000002e-06 6.951405179999999850e-01 8.641287989999999805e-07 -8.235657610000000288e-05 1.749762149999999877e-05 0.000000000000000000e+00 0.000000000000000000e+00
8.183585410000000714e-09 1.294122409999999945e+00 -9.826854940000000329e-07 1.229627740000000093e-06 6.954889950000000542e-01 -8.637914900000000392e-07 8.235629680000000489e-05 -2.268684560000000045e-05 0.000000000000000000e+00 0.000000000000000000e+00
9.183585409999999742e-09 1.294150450000000063e+00 1.247043530000000022e-06 -1.229468350000000007e-06 6.959359250000000108e-01 8.636319889999999738e-07 -8.235108279999999521e-05 1.749506689999999937e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.018358540000000059e-08 1.294178590000000018e+00 -9.805742240000000744e-07 1.229343840000000028e-06 6.962350219999999812e-01 -8.633769399999999569e-07 8.235070050000000222e-05 -2.269395869999999958e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.118358539999999962e-08 1.294206570000000056e+00 1.247574139999999924e-06 -1.229091020000000050e-06 6.966333169999999742e-01 8.631603790000000063e-07 -8.234532679999999642e-05 1.749228270000000057e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.218358540000000030e-08 1.294234789999999968e+00 -9.775126079999999541e-07 1.229040010000000088e-06 6.968804610000000066e-01 -8.629501110000000136e-07 8.234484760000000301e-05 -2.270064270000000028e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.318358539999999933e-08 1.294262849999999965e+00 1.248499380000000070e-06 -1.228727119999999894e-06 6.972225149999999871e-01 8.626970850000000295e-07 -8.233936550000000210e-05 1.749073929999999993e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.418358540000000001e-08 1.294291150000000057e+00 -9.745733750000000379e-07 1.228726000000000067e-06 6.974100469999999774e-01 -8.625171710000000314e-07 8.233879070000000580e-05 -2.270576220000000131e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.518358539999999904e-08 1.294319219999999993e+00 1.248985679999999962e-06 -1.228373570000000014e-06 6.976901789999999659e-01 8.622401190000000316e-07 -8.233324069999999701e-05 1.749110659999999866e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.618358540000000137e-08 1.294347480000000106e+00 -9.723505180000000741e-07 1.228400380000000070e-06 6.978162359999999786e-01 -8.620773360000000252e-07 8.233257360000000090e-05 -2.270900880000000034e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.718358540000000040e-08 1.294375430000000105e+00 1.248666009999999949e-06 -1.228031730000000047e-06 6.980365689999999956e-01 8.617902859999999684e-07 -8.232698410000000087e-05 1.749330569999999895e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.818358539999999943e-08 1.294403519999999919e+00 -9.710035980000000281e-07 1.228061929999999907e-06 6.981073719999999483e-01 -8.616298679999999647e-07 8.232623259999999506e-05 -2.271071619999999957e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.918358539999999846e-08 1.294431220000000105e+00 1.247552369999999939e-06 -1.227700819999999919e-06 6.982773509999999906e-01 8.613471289999999818e-07 -8.232062010000000562e-05 1.749678050000000161e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.018358540000000080e-08 1.294459049999999944e+00 -9.703837220000000925e-07 1.227712619999999948e-06 6.983048280000000441e-01 -8.611759349999999576e-07 8.231979679999999939e-05 -2.271153170000000037e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.118358539999999982e-08 1.294486449999999955e+00 1.245882560000000058e-06 -1.227377119999999899e-06 6.984376799999999497e-01 8.609084430000000142e-07 -8.231416919999999711e-05 1.750083369999999838e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.218358539999999885e-08 1.294513980000000064e+00 -9.701979850000000415e-07 1.227356720000000013e-06 6.984354959999999890e-01 -8.607181019999999912e-07 8.231328879999999678e-05 -2.271210630000000018e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.318358540000000119e-08 1.294541079999999900e+00 1.243961120000000069e-06 -1.227055740000000036e-06 6.985443690000000538e-01 8.604712769999999488e-07 -8.230764890000000027e-05 1.750488089999999879e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.418358540000000022e-08 1.294568329999999934e+00 -9.701506049999999068e-07 1.226998789999999914e-06 6.985246029999999662e-01 -8.602591209999999896e-07 8.230672620000000362e-05 -2.271290640000000018e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.518358539999999925e-08 1.294595170000000017e+00 1.242045990000000099e-06 -1.226732379999999978e-06 6.986199910000000513e-01 8.600330519999999595e-07 -8.230107449999999735e-05 1.750856649999999872e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.618358540000000158e-08 1.294622189999999895e+00 -9.700256510000000113e-07 1.226642179999999945e-06 6.985913969999999473e-01 -8.598010190000000002e-07 8.230012199999999509e-05 -2.271416029999999886e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.718358540000000061e-08 1.294648819999999922e+00 1.240297100000000077e-06 -1.226404380000000030e-06 6.986801929999999494e-01 8.595921580000000292e-07 -8.229445909999999562e-05 1.751176410000000042e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.818358539999999964e-08 1.294675680000000106e+00 -9.697116200000000193e-07 1.226288520000000089e-06 6.986479399999999673e-01 -8.593447830000000035e-07 8.229348650000000050e-05 -2.271589530000000165e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.918358539999999867e-08 1.294702170000000097e+00 1.238774319999999916e-06 -1.226070789999999921e-06 6.987337080000000089e-01 8.591480139999999563e-07 -8.228781349999999531e-05 1.751451429999999955e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.018358539999999770e-08 1.294728920000000061e+00 -9.691873440000000121e-07 1.225937919999999897e-06 6.987000340000000254e-01 -8.588904949999999792e-07 8.228682759999999641e-05 -2.271801160000000143e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.118358540000000003e-08 1.294755309999999993e+00 1.237462569999999970e-06 -1.225731919999999929e-06 6.987839049999999830e-01 8.587007989999999666e-07 -8.228114670000000110e-05 1.751694629999999892e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.218358540000000237e-08 1.294781989999999938e+00 -9.684907040000000777e-07 1.225589570000000033e-06 6.987491350000000212e-01 -8.584376669999999571e-07 8.228015179999999750e-05 -2.272035790000000036e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.318358539999999809e-08 1.294808329999999952e+00 1.236305410000000063e-06 -1.225388760000000044e-06 6.988308439999999511e-01 8.582511039999999804e-07 -8.227446559999999356e-05 1.751921089999999837e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.418358540000000043e-08 1.294834959999999979e+00 -9.676857029999999818e-07 1.225242240000000057e-06 6.987943800000000483e-01 -8.579855690000000420e-07 8.227346420000000238e-05 -2.272278750000000119e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.518358540000000276e-08 1.294861250000000075e+00 1.235234980000000096e-06 -1.225042459999999993e-06 6.988731590000000216e-01 8.577996340000000140e-07 -8.226777570000000492e-05 1.752143500000000041e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.618358539999999848e-08 1.294887850000000062e+00 -9.668365509999999236e-07 1.224894740000000100e-06 6.988342320000000552e-01 -8.575334869999999732e-07 8.226676930000000661e-05 -2.272519159999999888e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.718358540000000082e-08 1.294914099999999957e+00 1.234192770000000005e-06 -1.224694059999999948e-06 6.989094070000000380e-01 8.573470009999999581e-07 -8.226108129999999360e-05 1.752370019999999949e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.818358540000000316e-08 1.294940659999999966e+00 -9.659920240000000195e-07 1.224546170000000073e-06 6.988675260000000167e-01 -8.570808719999999826e-07 8.226007059999999621e-05 -2.272751030000000103e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.918358539999999888e-08 1.294966880000000042e+00 1.233139879999999925e-06 -1.224344240000000045e-06 6.989388189999999890e-01 8.568936259999999635e-07 -8.225438529999999681e-05 1.752604130000000158e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.018358540000000122e-08 1.294993400000000072e+00 -9.651797800000000135e-07 1.224195980000000099e-06 6.988939309999999683e-01 -8.566273970000000488e-07 8.225337129999999634e-05 -2.272972700000000078e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.118358539999999693e-08 1.295019570000000009e+00 1.232058469999999938e-06 -1.223993350000000072e-06 6.989615019999999568e-01 8.564397199999999485e-07 -8.224769029999999602e-05 1.752845599999999961e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.218358539999999927e-08 1.295046039999999898e+00 -9.644081160000000394e-07 1.223843960000000050e-06 6.989139530000000322e-01 -8.561729360000000322e-07 8.224667359999999550e-05 -2.273185519999999842e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.318358540000000161e-08 1.295072170000000078e+00 1.230947490000000048e-06 -1.223641460000000072e-06 6.989782949999999717e-01 8.559853229999999523e-07 -8.224099799999999528e-05 1.753092090000000101e-05 0.000000000000000000e+00 0.000000000000000000e+00
