time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 8.613009020000000383e-04 8.154377389999999458e-12 5.336651100000000115e-12 5.440955509999999551e-01 1.122812159999999953e-17 -4.459099760000000198e-12 -1.367289780000000006e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 8.569834599999999686e-04 -8.386788769999999608e-06 3.731580169999999836e-06 5.435371989999999709e-01 -1.658458059999999993e-06 1.168538729999999901e-03 -9.022631340000000517e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 8.525319329999999718e-04 -1.094932069999999963e-05 4.916516170000000276e-06 5.430080720000000083e-01 -2.626170880000000191e-06 1.199780220000000105e-03 -9.144784749999999808e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 8.435959929999999789e-04 -1.144637479999999944e-05 5.604596469999999781e-06 5.419778410000000157e-01 -3.451341760000000177e-06 1.189707140000000008e-03 -8.966582959999999485e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 8.256174680000000340e-04 -1.026489829999999994e-05 5.225909840000000347e-06 5.399583279999999874e-01 -3.170569360000000002e-06 1.176459830000000078e-03 -8.853834399999999799e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 7.891944389999999872e-04 -9.153880479999999215e-06 5.358195649999999894e-06 5.359706880000000284e-01 -3.244338809999999971e-06 1.149497709999999957e-03 -8.509619410000000481e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 7.142549319999999579e-04 -5.555668589999999793e-06 4.988319959999999725e-06 5.282335500000000517e-01 -3.044233089999999975e-06 1.113980020000000012e-03 -8.105675020000000473e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 5.095664920000000193e-04 4.068998439999999768e-06 6.910663140000000296e-06 5.103604510000000483e-01 -4.163676650000000260e-06 1.320043610000000076e-03 -8.288555550000000372e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 2.135665209999999998e-04 1.551946819999999838e-05 1.673000110000000094e-06 4.963332750000000182e-01 -1.180324399999999944e-06 1.203066679999999916e-03 -7.596594990000000514e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.063999999999999990e-11 2.139085510000000064e-04 2.374400170000000067e-06 2.617945520000000120e-07 4.962782909999999825e-01 -2.118503850000000014e-07 1.126819120000000022e-05 -9.604268969999999559e-06 0.000000000000000000e+00 0.000000000000000000e+00
