time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 3.775052289999999977e-02 3.199872610000000149e-12 2.295592279999999858e-12 5.918315170000000291e-01 2.926084750000000141e-16 -2.349231920000000136e-12 -7.658207770000000239e-07 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 3.774617599999999934e-02 -9.020321399999999549e-06 3.861618740000000226e-06 5.912586579999999925e-01 -1.753734860000000075e-06 1.147295019999999919e-03 -8.795281589999999873e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 3.774169620000000086e-02 -1.155350149999999952e-05 5.108586769999999752e-06 5.907139660000000347e-01 -2.782745150000000148e-06 1.177832289999999893e-03 -8.917518300000000248e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 3.773270289999999805e-02 -1.168386900000000026e-05 5.843713899999999656e-06 5.896538449999999543e-01 -3.664355049999999803e-06 1.169178060000000078e-03 -8.761600829999999533e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 3.771460439999999720e-02 -1.013342669999999927e-05 5.416336670000000381e-06 5.875853680000000523e-01 -3.352242220000000118e-06 1.157229870000000063e-03 -8.664960240000000322e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 3.767791780000000201e-02 -7.898048970000000842e-06 5.405785239999999801e-06 5.835704149999999535e-01 -3.340407300000000038e-06 1.132844019999999959e-03 -8.362064650000000220e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 3.760246429999999918e-02 -1.728573190000000004e-06 4.463114559999999971e-06 5.763130629999999588e-01 -2.794620990000000011e-06 1.093158600000000095e-03 -7.987467779999999533e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 3.742687139999999885e-02 9.700599030000000005e-06 2.447307239999999850e-06 5.662081869999999739e-01 -1.551943460000000017e-06 1.095424889999999920e-03 -7.559326340000000269e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 3.713918489999999684e-02 9.030990940000000185e-06 5.368837909999999828e-06 5.530367259999999785e-01 -3.325967279999999897e-06 1.355135180000000081e-03 -8.000728030000000233e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.063999999999999990e-11 3.713939670000000054e-02 7.215166480000000348e-07 3.582364049999999926e-07 5.530964290000000005e-01 -3.868653819999999996e-07 8.328741970000000819e-06 -5.333374340000000138e-06 0.000000000000000000e+00 0.000000000000000000e+00
