time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 2.795740640000000162e-03 1.314901279999999993e-10 6.456865690000000504e-10 4.546589939999999830e-01 1.720038899999999991e-16 -8.415046440000000463e-12 -2.458627739999999889e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 2.791428480000000129e-03 -1.015383609999999933e-05 3.351075969999999848e-06 4.541559259999999876e-01 -1.455437969999999957e-06 1.214334509999999987e-03 -9.522646320000000518e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 2.786977349999999846e-03 -1.268759710000000036e-05 4.428748730000000001e-06 4.536791569999999996e-01 -2.320007819999999802e-06 1.247099069999999931e-03 -9.659903619999999757e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 2.778041509999999888e-03 -1.328270189999999959e-05 5.066248450000000081e-06 4.527503270000000080e-01 -3.073348149999999829e-06 1.233887039999999975e-03 -9.445789250000000527e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 2.760061680000000170e-03 -1.235437340000000074e-05 4.739145389999999770e-06 4.509247880000000208e-01 -2.840849819999999854e-06 1.217748139999999925e-03 -9.299226869999999839e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 2.723580240000000093e-03 -1.187174640000000080e-05 4.949290770000000388e-06 4.472770759999999957e-01 -2.953733840000000132e-06 1.185337849999999922e-03 -8.882175240000000308e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 2.645429520000000014e-03 -1.091335209999999987e-05 5.394876489999999852e-06 4.395186380000000170e-01 -3.240625520000000188e-06 1.184530629999999913e-03 -8.526827860000000094e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 2.390470930000000195e-03 -1.390932830000000055e-05 1.215191300000000022e-05 4.131336110000000117e-01 -7.254198029999999776e-06 1.643645640000000047e-03 -9.374226109999999820e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 2.067264379999999863e-03 2.501275809999999882e-05 4.245863869999999887e-07 3.932273760000000173e-01 -6.318169959999999580e-07 1.113285330000000082e-03 -7.470620129999999996e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.058416440000000053e-11 2.067670529999999802e-03 5.452282549999999889e-06 3.963637880000000133e-07 3.930628640000000118e-01 -2.543431760000000196e-07 2.148284670000000080e-05 -1.732960549999999926e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.175249309999999951e-11 2.068994110000000209e-03 5.400728049999999704e-06 4.399367679999999829e-07 3.927010049999999919e-01 -2.313114840000000078e-07 9.032379820000000187e-06 -1.079916439999999948e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.408915060000000075e-11 2.071843839999999975e-03 5.597480800000000003e-06 5.626731569999999594e-07 3.917876820000000260e-01 -3.496986959999999959e-07 2.000023710000000155e-05 -1.880717210000000013e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.876246560000000001e-11 2.078130579999999932e-03 5.180121890000000172e-06 5.064348120000000012e-07 3.898056349999999837e-01 -2.765540830000000126e-07 7.247862560000000232e-06 -1.139930489999999984e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.810909559999999852e-11 2.092762309999999810e-03 4.896259759999999749e-06 5.200087620000000180e-07 3.859224179999999893e-01 -3.214314800000000089e-07 1.697770510000000039e-05 -1.851704620000000148e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.680235550000000196e-11 2.129157689999999856e-03 3.893400070000000323e-06 4.259285969999999958e-07 3.786289119999999842e-01 -2.265511369999999956e-07 1.912642679999999934e-06 -1.066407519999999992e-05 0.000000000000000000e+00 0.000000000000000000e+00
8.418887539999999919e-11 2.223074230000000179e-03 2.934370510000000193e-06 4.012332450000000188e-07 3.657375079999999890e-01 -2.442188439999999880e-07 8.380058710000000812e-06 -1.703811499999999975e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.589619150000000129e-10 2.450518889999999967e-03 1.792104870000000050e-06 2.513126249999999849e-07 3.458526650000000036e-01 -1.091323169999999992e-07 -8.750020300000000450e-06 -7.769481639999999364e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.085079950000000150e-10 2.893729079999999947e-03 1.463497670000000067e-06 1.718550579999999980e-07 3.222196489999999969e-01 -8.046066019999999588e-08 9.365814749999999901e-07 -1.217834370000000049e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.519111589999999618e-10 3.408446150000000140e-03 9.446628760000000464e-07 3.543955600000000244e-08 3.074047420000000086e-01 4.844750169999999976e-08 -8.946684550000000318e-06 -2.145671860000000046e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.034913099999999932e-10 3.821528660000000216e-03 1.090852100000000104e-06 3.083246470000000196e-08 3.057386790000000132e-01 6.090325539999999983e-09 4.309427490000000176e-06 -7.993810539999999289e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.553989250000000099e-09 4.199149979999999664e-03 7.197756829999999611e-07 -3.930080920000000106e-08 3.168149359999999914e-01 6.458988199999999349e-08 -6.288366889999999757e-06 3.117504330000000047e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.381498700000000099e-09 4.441740670000000370e-03 7.948932449999999585e-07 4.957264850000000204e-09 3.324915159999999870e-01 -1.061393370000000032e-08 5.620293540000000073e-06 -6.677375410000000173e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.381498699999999954e-09 4.635984170000000300e-03 3.712149549999999748e-07 -3.788007870000000264e-08 3.469999990000000034e-01 4.568651630000000041e-08 -5.915635890000000123e-06 8.885208419999999489e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.381498699999999810e-09 4.783142209999999804e-03 5.064070409999999531e-07 1.055237200000000025e-08 3.585805269999999823e-01 -2.237367679999999859e-08 5.710177050000000373e-06 -6.368841139999999641e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.381498699999999665e-09 4.899368210000000327e-03 1.866025899999999885e-07 -3.199522790000000114e-08 3.683553820000000090e-01 3.820987149999999976e-08 -5.873503899999999925e-06 1.063984220000000037e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.381498700000000348e-09 4.993089640000000079e-03 3.883263239999999900e-07 1.616334360000000088e-08 3.766613010000000039e-01 -2.778365890000000129e-08 5.747181609999999788e-06 -6.268350890000000354e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.381498700000000203e-09 5.070716400000000422e-03 1.084539839999999945e-07 -2.719532560000000089e-08 3.837459249999999877e-01 3.421949499999999920e-08 -5.843900649999999676e-06 1.119411390000000056e-06 0.000000000000000000e+00 0.000000000000000000e+00
8.381498699999999232e-09 5.136801889999999780e-03 3.352362170000000179e-07 1.988283350000000162e-08 3.898342009999999913e-01 -3.058074949999999890e-08 5.769239389999999703e-06 -6.238215839999999698e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.381498699999999914e-09 5.194479180000000258e-03 7.183613609999999426e-08 -2.444658099999999925e-08 3.951287689999999908e-01 3.229044839999999731e-08 -5.827056760000000351e-06 1.136340930000000061e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.038149870000000060e-08 5.245907519999999831e-03 3.093832520000000258e-07 2.181779770000000058e-08 3.997893000000000141e-01 -3.181942610000000041e-08 5.781706760000000015e-06 -6.227406809999999800e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.138149869999999963e-08 5.292771170000000122e-03 5.396551650000000135e-08 -2.311080930000000137e-08 4.039363049999999955e-01 3.150221120000000093e-08 -5.817320529999999912e-06 1.141410990000000046e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.238149870000000031e-08 5.336215590000000300e-03 2.970598979999999885e-07 2.270452280000000057e-08 4.076571669999999870e-01 -3.225389610000000046e-08 5.789235390000000248e-06 -6.225635870000000047e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.338149869999999934e-08 5.376987760000000172e-03 4.523836840000000278e-08 -2.251865829999999995e-08 4.110340390000000177e-01 3.126119359999999998e-08 -5.811037770000000355e-06 1.142121420000000028e-06 0.000000000000000000e+00 0.000000000000000000e+00
