time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
0.000000000000000000e+00 4.275034199999999673e-02 5.740077000000000200e-12 2.405499290000000114e-12 6.548469439999999864e-01 3.443127150000000218e-16 -2.197797499999999956e-12 -1.484574760000000073e-06 1.199999999999999956e+00 0.000000000000000000e+00
1.000000000000000030e-13 4.274598739999999758e-02 -8.601428980000000020e-06 3.994270100000000408e-06 6.542575080000000431e-01 -1.813083290000000003e-06 1.115398239999999992e-03 -8.448643110000000249e-04 1.187999999999999945e+00 0.000000000000000000e+00
2.000000000000000061e-13 4.274150349999999987e-02 -1.139616679999999926e-05 5.256885920000000187e-06 6.537000729999999926e-01 -2.864983970000000183e-06 1.145394419999999939e-03 -8.554813310000000367e-04 1.175999999999999934e+00 0.000000000000000000e+00
4.000000000000000121e-13 4.273250239999999700e-02 -1.186327019999999988e-05 5.983830840000000269e-06 6.526158450000000277e-01 -3.755184029999999941e-06 1.140009009999999948e-03 -8.420567000000000113e-04 1.151999999999999913e+00 0.000000000000000000e+00
8.000000000000000243e-13 4.271438739999999790e-02 -1.045017639999999943e-05 5.571676640000000338e-06 6.504942369999999752e-01 -3.442018559999999812e-06 1.130920209999999914e-03 -8.350617389999999808e-04 1.104000000000000092e+00 0.000000000000000000e+00
1.600000000000000049e-12 4.267766459999999817e-02 -8.927126749999999460e-06 5.689714600000000367e-06 6.463209380000000115e-01 -3.511225659999999850e-06 1.113044189999999991e-03 -8.097828570000000382e-04 1.008000000000000007e+00 0.000000000000000000e+00
3.200000000000000097e-12 4.260148140000000194e-02 -4.453692000000000015e-06 5.303222379999999763e-06 6.382426340000000309e-01 -3.294667589999999941e-06 1.091635969999999898e-03 -7.797643400000000072e-04 8.159999999999999476e-01 0.000000000000000000e+00
6.400000000000000194e-12 4.236958259999999699e-02 1.138882059999999947e-05 6.756645139999999664e-06 6.204772570000000043e-01 -4.172408820000000296e-06 1.414095169999999950e-03 -8.474293260000000192e-04 4.319999999999999951e-01 0.000000000000000000e+00
9.999999999999999395e-12 4.206695399999999668e-02 1.044023159999999986e-05 1.872503740000000086e-06 6.065934819999999617e-01 -1.299566970000000056e-06 1.090787530000000014e-03 -7.064047780000000300e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.063999999999999990e-11 4.206788620000000145e-02 2.376073239999999915e-06 2.732600269999999918e-07 6.065392280000000413e-01 -2.264949729999999989e-07 7.225479819999999750e-06 -1.009030310000000042e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.191999999999999929e-11 4.207025880000000301e-02 2.716565430000000130e-06 8.849839619999999998e-08 6.063625320000000096e-01 -2.700932140000000122e-09 -3.977079429999999714e-06 -5.549501330000000354e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.447999999999999969e-11 4.207508389999999737e-02 2.579487599999999948e-06 3.501292640000000028e-07 6.058609990000000112e-01 -2.530645790000000047e-07 6.481609450000000098e-06 -1.094093239999999951e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.959999999999999888e-11 4.208487360000000288e-02 2.660668709999999994e-06 1.187326209999999968e-07 6.047757400000000061e-01 -3.140744779999999841e-08 -4.531595310000000086e-06 -5.687593340000000380e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.983999999999999725e-11 4.210486990000000124e-02 2.316703299999999886e-06 3.105226969999999934e-07 6.026561999999999752e-01 -2.242940370000000117e-07 5.597205360000000345e-06 -1.069168359999999943e-05 0.000000000000000000e+00 0.000000000000000000e+00
5.032000000000000046e-11 4.214603270000000235e-02 2.163534080000000081e-06 8.458531930000000356e-08 5.986649990000000310e-01 -1.263111659999999986e-08 -5.982470190000000392e-06 -5.134770819999999977e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.127999999999999395e-11 4.223028580000000309e-02 1.514973919999999945e-06 2.560534160000000234e-07 5.915523579999999448e-01 -1.899297520000000077e-07 3.439487469999999925e-06 -9.637295689999999439e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.732000000000000068e-10 4.239317229999999687e-02 1.215499259999999908e-06 -5.516011819999999692e-09 5.804275570000000384e-01 4.154545580000000214e-08 -8.257751599999999713e-06 -3.239264710000000154e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.370400000000000066e-10 4.266188199999999819e-02 7.885179909999999876e-07 1.276362979999999880e-07 5.670560980000000084e-01 -1.123129080000000050e-07 2.608334789999999863e-06 -6.832759980000000133e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.647199999999999545e-10 4.299855720000000242e-02 6.948296000000000136e-07 -1.242276610000000068e-07 5.574487529999999635e-01 1.122387199999999935e-07 -6.683469360000000284e-06 -1.516506289999999901e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.320080000000000057e-09 4.330427600000000266e-02 3.999169670000000063e-07 6.683782469999999476e-08 5.585404699999999556e-01 -7.645734129999999894e-08 4.938185409999999804e-06 -4.516513050000000412e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.239529629999999819e-09 4.348000700000000107e-02 3.997953400000000034e-07 -1.248454590000000013e-07 5.670899769999999673e-01 1.120884310000000059e-07 -5.453387899999999897e-06 9.609461320000000364e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.239529630000000089e-09 4.358947090000000330e-02 1.799912910000000102e-07 8.686258009999999519e-08 5.740333459999999999e-01 -8.872577239999999680e-08 5.247098559999999985e-06 -4.151149429999999896e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.239529630000000358e-09 4.366759519999999922e-02 2.427250589999999738e-07 -1.101661869999999987e-07 5.788799540000000299e-01 1.030738700000000053e-07 -5.378183959999999860e-06 1.097031849999999958e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.239529630000000213e-09 4.372725260000000225e-02 7.719106329999999485e-08 9.491202480000000441e-08 5.830503719999999834e-01 -9.363452539999999531e-08 5.279414710000000010e-06 -4.099675800000000204e-06 0.000000000000000000e+00 0.000000000000000000e+00
6.239529630000000069e-09 4.377428249999999743e-02 1.805391669999999965e-07 -1.056861049999999946e-07 5.872912179999999482e-01 1.002901010000000025e-07 -5.355363779999999907e-06 1.109581880000000057e-06 0.000000000000000000e+00 0.000000000000000000e+00
7.239529629999999924e-09 4.381248659999999878e-02 4.404334809999999951e-08 9.755740439999999458e-08 5.917961590000000438e-01 -9.523622340000000166e-08 5.297773139999999887e-06 -4.105450059999999595e-06 0.000000000000000000e+00 0.000000000000000000e+00
8.239529629999999780e-09 4.384458439999999735e-02 1.676942189999999930e-07 -1.037991130000000015e-07 5.965579119999999680e-01 9.909822200000000298e-08 -5.339577710000000335e-06 1.093875389999999899e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.239529630000000462e-09 4.387260140000000253e-02 4.595035140000000070e-08 9.889296489999999462e-08 6.014929199999999865e-01 -9.603067409999999845e-08 5.311217840000000412e-06 -4.129537669999999659e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.023952959999999998e-08 4.389808080000000279e-02 1.809382019999999936e-07 -1.026716069999999983e-07 6.065370279999999781e-01 9.837618790000000556e-08 -5.327217369999999698e-06 1.062052529999999924e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.123952960000000066e-08 4.392229090000000086e-02 6.847312199999999962e-08 9.975315579999999998e-08 6.116075300000000103e-01 -9.652984870000000121e-08 5.322554029999999979e-06 -4.169579239999999935e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.223952959999999969e-08 4.394633929999999800e-02 2.110453499999999940e-07 -1.018338010000000033e-07 6.166407379999999661e-01 9.783543519999999537e-08 -5.316090239999999976e-06 1.014533719999999908e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.323952960000000037e-08 4.397128690000000339e-02 1.045388039999999977e-07 1.004639319999999970e-07 6.215411830000000526e-01 -9.693373230000000531e-08 5.332787090000000392e-06 -4.224058599999999673e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.423952959999999940e-08 4.399815669999999901e-02 2.509889530000000132e-07 -1.010455140000000009e-07 6.262243640000000333e-01 9.732889529999999893e-08 -5.306879320000000330e-06 9.554879590000000491e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.523952959999999843e-08 4.402792020000000084e-02 1.459640460000000040e-07 1.011812720000000052e-07 6.305769399999999747e-01 -9.733779940000000007e-08 5.339463090000000021e-06 -4.285075729999999691e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.623952960000000076e-08 4.406136979999999981e-02 2.910482739999999880e-07 -1.002480050000000037e-07 6.345116549999999522e-01 9.682019819999999643e-08 -5.303133849999999858e-06 8.969904770000000235e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.723952959999999979e-08 4.409900580000000042e-02 1.818670139999999944e-07 1.018596030000000027e-07 6.379361620000000288e-01 -9.771543459999999477e-08 5.339313020000000074e-06 -4.337066399999999611e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.823952959999999882e-08 4.414087309999999847e-02 3.200182069999999839e-07 -9.959202229999999489e-08 6.408214209999999467e-01 9.639915089999999863e-08 -5.306443959999999934e-06 8.567250959999999680e-07 0.000000000000000000e+00 0.000000000000000000e+00
1.923952960000000116e-08 4.418672480000000041e-02 2.026568530000000088e-07 1.023113820000000047e-07 6.431316369999999782e-01 -9.795495680000000541e-08 5.333076080000000286e-06 -4.364672649999999581e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.023952960000000019e-08 4.423593349999999785e-02 3.317082329999999930e-07 -9.922316679999999477e-08 6.448887290000000494e-01 9.615202179999999669e-08 -5.313840610000000408e-06 8.429190729999999527e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.123952959999999921e-08 4.428749369999999963e-02 2.050330870000000049e-07 1.023720460000000065e-07 6.461540199999999956e-01 -9.795857150000000459e-08 5.325254229999999849e-06 -4.364645820000000299e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.223952960000000155e-08 4.434034989999999926e-02 3.262846380000000233e-07 -9.929311899999999604e-08 6.470320170000000148e-01 9.616902759999999465e-08 -5.320648230000000185e-06 8.542903009999999887e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.323952960000000058e-08 4.439357389999999681e-02 1.940018379999999871e-07 1.020561080000000054e-07 6.476122020000000257e-01 -9.773604529999999871e-08 5.319354559999999756e-06 -4.346013879999999930e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.423952959999999961e-08 4.444641049999999843e-02 3.117962040000000202e-07 -9.963623010000000184e-08 6.479991790000000362e-01 9.634951980000000162e-08 -5.324883420000000038e-06 8.771016729999999666e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.523952959999999864e-08 4.449832830000000072e-02 1.780817239999999975e-07 1.015846909999999969e-07 6.482610330000000420e-01 -9.742122750000000070e-08 5.316232399999999818e-06 -4.322442000000000212e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.623952960000000097e-08 4.454898370000000274e-02 2.959345679999999774e-07 -1.000276280000000013e-07 6.484700350000000002e-01 9.655766140000000468e-08 -5.326453319999999815e-06 8.996992849999999901e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.723952960000000000e-08 4.459821929999999851e-02 1.634437759999999990e-07 1.011485019999999948e-07 6.486589579999999522e-01 -9.712905149999999730e-08 5.315453850000000275e-06 -4.302723520000000094e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.823952959999999903e-08 4.464600090000000326e-02 2.831598000000000180e-07 -1.003293029999999986e-07 6.488674359999999641e-01 9.671055399999999504e-08 -5.326104370000000103e-06 9.162044019999999922e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.923952960000000137e-08 4.469240750000000317e-02 1.529659039999999906e-07 1.008312249999999937e-07 6.491007579999999999e-01 -9.690948510000000517e-08 5.316149759999999891e-06 -4.290205709999999771e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.023952960000000040e-08 4.473757309999999709e-02 2.750430640000000038e-07 -1.005032909999999935e-07 6.493769790000000208e-01 9.678586939999999865e-08 -5.324701050000000237e-06 9.252385029999999615e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.123952960000000273e-08 4.478168669999999657e-02 1.472172100000000080e-07 1.006374509999999980e-07 6.496852330000000286e-01 -9.676473669999999375e-08 5.317532060000000164e-06 -4.284854860000000415e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.223952959999999845e-08 4.482494470000000092e-02 2.714242629999999837e-07 -1.005662939999999965e-07 6.500320130000000196e-01 9.679417900000000053e-08 -5.322926130000000023e-06 9.277796500000000144e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.323952960000000079e-08 4.486756220000000239e-02 1.455286790000000059e-07 1.005387720000000046e-07 6.503985730000000354e-01 -9.667726460000000103e-08 5.319027629999999877e-06 -4.285103060000000363e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.423952960000000313e-08 4.490973370000000270e-02 2.712942790000000002e-07 -1.005516419999999977e-07 6.507864319999999703e-01 9.675589269999999357e-08 -5.321249109999999610e-06 9.257318679999999652e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.523952959999999885e-08 4.495165079999999952e-02 1.466796850000000093e-07 1.005010849999999984e-07 6.511741880000000426e-01 -9.662629000000000093e-08 5.320261020000000175e-06 -4.288887249999999837e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.623952960000000118e-08 4.499346840000000014e-02 2.733213700000000082e-07 -1.004918789999999953e-07 6.515625809999999740e-01 9.669075920000000469e-08 -5.319957650000000210e-06 9.211904529999999546e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.723952959999999690e-08 4.503532670000000293e-02 1.493099780000000045e-07 1.004944799999999940e-07 6.519309920000000425e-01 -9.659372729999999868e-08 5.321027249999999920e-06 -4.294176360000000119e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.823952959999999924e-08 4.507732190000000166e-02 2.761875000000000238e-07 -1.004137839999999990e-07 6.522821840000000426e-01 9.661491450000000276e-08 -5.319175990000000186e-06 9.160424859999999544e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.923952960000000158e-08 4.511953180000000119e-02 1.522051139999999954e-07 1.004955029999999991e-07 6.525985619999999932e-01 -9.656549399999999679e-08 5.321278689999999762e-06 -4.299295319999999611e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.023952959999999730e-08 4.516199060000000015e-02 2.788330760000000038e-07 -1.003372830000000013e-07 6.528865579999999502e-01 9.654028029999999793e-08 -5.318880580000000297e-06 9.116942399999999551e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.123952959999999963e-08 4.520471789999999657e-02 1.544992149999999983e-07 1.004879340000000050e-07 6.531326149999999719e-01 -9.653192339999999916e-08 5.321099709999999764e-06 -4.303147850000000078e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.223952960000000197e-08 4.524769680000000072e-02 2.806098589999999875e-07 -1.002746900000000033e-07 6.533471899999999666e-01 9.647415989999999720e-08 -5.318939580000000020e-06 9.089101759999999542e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.323952959999999769e-08 4.529090539999999776e-02 1.557689600000000105e-07 1.004634370000000013e-07 6.535204980000000052e-01 -9.648810780000000143e-08 5.320653190000000390e-06 -4.305300180000000327e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.423952960000000003e-08 4.533429590000000176e-02 2.813103399999999850e-07 -1.002304429999999971e-07 6.536662069999999991e-01 9.641911990000000150e-08 -5.319175930000000392e-06 9.078170049999999739e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.523952960000000236e-08 4.537782650000000279e-02 1.559990579999999915e-07 1.004211450000000062e-07 6.537770699999999602e-01 -9.643361970000000133e-08 5.320114589999999879e-06 -4.305889220000000002e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.623952959999999808e-08 4.542144029999999749e-02 2.810771640000000088e-07 -1.002023520000000059e-07 6.538684809999999459e-01 9.637376450000000592e-08 -5.319428960000000285e-06 9.080713120000000521e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.723952960000000042e-08 4.546509559999999811e-02 1.554494939999999965e-07 1.003655979999999978e-07 6.539341640000000400e-01 -9.637124899999999980e-08 5.319620509999999929e-06 -4.305400859999999625e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.823952960000000276e-08 4.550874280000000160e-02 2.802455260000000080e-07 -1.001843069999999943e-07 6.539897310000000186e-01 9.633437750000000046e-08 -5.319591860000000398e-06 9.091084819999999653e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.923952959999999848e-08 4.555235269999999975e-02 1.544909089999999910e-07 1.003036759999999987e-07 6.540285510000000135e-01 -9.630515910000000384e-08 5.319246270000000170e-06 -4.304420809999999709e-06 0.000000000000000000e+00 0.000000000000000000e+00
5.023952960000000081e-08 4.559589170000000191e-02 2.791871840000000029e-07 -1.001693489999999973e-07 6.540653910000000515e-01 9.629676499999999984e-08 -5.319619889999999798e-06 9.103692680000000100e-07 0.000000000000000000e+00 0.000000000000000000e+00
