corner temp vp vph vout_max vout_avg
mos_tt -25 1.08 3.1 3.12136e+00 1.63743e+00
mos_tt -25 1.08 3.3 3.31911e+00 1.71867e+00
mos_tt -25 1.08 3.5 3.51607e+00 1.78586e+00
mos_tt -25 1.2 3.1 3.11994e+00 1.65882e+00
mos_tt -25 1.2 3.3 3.32043e+00 1.75569e+00
mos_tt -25 1.2 3.5 3.52118e+00 1.85309e+00
mos_tt -25 1.32 3.1 3.11770e+00 1.65887e+00
mos_tt -25 1.32 3.3 3.32010e+00 1.76515e+00
mos_tt -25 1.32 3.5 3.51989e+00 1.86477e+00
mos_tt 27 1.08 3.1 3.11778e+00 1.64017e+00
mos_tt 27 1.08 3.3 3.31836e+00 1.73191e+00
mos_tt 27 1.08 3.5 3.51585e+00 1.78590e+00
mos_tt 27 1.2 3.1 3.12041e+00 1.67759e+00
mos_tt 27 1.2 3.3 3.32069e+00 1.77637e+00
mos_tt 27 1.2 3.5 3.52064e+00 1.86795e+00
mos_tt 27 1.32 3.1 3.11724e+00 1.69268e+00
mos_tt 27 1.32 3.3 3.31992e+00 1.78573e+00
mos_tt 27 1.32 3.5 3.52052e+00 1.88192e+00
mos_tt 125 1.08 3.1 3.11821e+00 1.65228e+00
mos_tt 125 1.08 3.3 3.31706e+00 1.72295e+00
mos_tt 125 1.08 3.5 3.51445e+00 1.77393e+00
mos_tt 125 1.2 3.1 3.12012e+00 1.69199e+00
mos_tt 125 1.2 3.3 3.31990e+00 1.78999e+00
mos_tt 125 1.2 3.5 3.51952e+00 1.88225e+00
mos_tt 125 1.32 3.1 3.11783e+00 1.71975e+00
mos_tt 125 1.32 3.3 3.32057e+00 1.80919e+00
mos_tt 125 1.32 3.5 3.51965e+00 1.90766e+00
mos_ss -25 1.08 3.1 3.11500e+00 1.58230e+00
mos_ss -25 1.08 3.3 3.31310e+00 1.63809e+00
mos_ss -25 1.08 3.5 3.51310e+00 1.65200e+00
mos_ss -25 1.2 3.1 3.11600e+00 1.66040e+00
mos_ss -25 1.2 3.3 3.31912e+00 1.75468e+00
mos_ss -25 1.2 3.5 3.51517e+00 1.84009e+00
mos_ss -25 1.32 3.1 3.11338e+00 1.67415e+00
mos_ss -25 1.32 3.3 3.31468e+00 1.76842e+00
mos_ss -25 1.32 3.5 3.51431e+00 1.86209e+00
mos_ss 27 1.08 3.1 3.11114e+00 1.59383e+00
mos_ss 27 1.08 3.3 3.32035e+00 1.64557e+00
mos_ss 27 1.08 3.5 3.51726e+00 1.66949e+00
mos_ss 27 1.2 3.1 3.11650e+00 1.66801e+00
mos_ss 27 1.2 3.3 3.32015e+00 1.76290e+00
mos_ss 27 1.2 3.5 3.51400e+00 1.85153e+00
mos_ss 27 1.32 3.1 3.11752e+00 1.69529e+00
mos_ss 27 1.32 3.3 3.32032e+00 1.78638e+00
mos_ss 27 1.32 3.5 3.52033e+00 1.88079e+00
mos_ss 125 1.08 3.1 3.11443e+00 1.59449e+00
mos_ss 125 1.08 3.3 3.30618e+00 1.63057e+00
mos_ss 125 1.08 3.5 3.51356e+00 1.63549e+00
mos_ss 125 1.2 3.1 3.11917e+00 1.67644e+00
mos_ss 125 1.2 3.3 3.31854e+00 1.75693e+00
mos_ss 125 1.2 3.5 3.51876e+00 1.84659e+00
mos_ss 125 1.32 3.1 3.11664e+00 1.71460e+00
mos_ss 125 1.32 3.3 3.31852e+00 1.80629e+00
mos_ss 125 1.32 3.5 3.51981e+00 1.90223e+00
